Altitude [km],He [1/m^3],O [1/m^3],N2 [1/m^3],O2 [1/m^3],Ar [1/m^3],Mass Density [kg/m^3],H [1/m^3],N [1/m^3],Anomalous O [1/m^3],Exospheric Temp [K],Temp at Altitude [K]
70,8.84895723949622e+15,0,1.31027914378836e+21,3.35707491499647e+20,1.56440558632696e+19,7.97733806181416e-05,0,0,0,1027.3184649,223.286318720944
70.8,7.90770167779397e+15,0,1.17011549759621e+21,2.98290916915417e+20,1.39678263959729e+19,7.11596980146507e-05,0,0,0,1027.3184649,221.761485814961
71.6,7.06285273801277e+15,0,1.04439678496388e+21,2.6489871962606e+20,1.24646524602738e+19,6.34426823723617e-05,0,0,0,1027.3184649,220.183847396443
72.4,6.30487355861451e+15,0,9.31684509182801e+20,2.35112149761478e+20,1.11172675137295e+19,5.65320818094184e-05,0,0,0,1027.3184649,218.548128979884
73.2,5.6156787336685e+15,11243573571437.9,8.29023637019469e+20,2.08416087826882e+20,9.8894367985124e+18,5.02607774256979e-05,2.77566689128683e-14,65048394386.2397,2.75808256015303e-56,1027.3184649,216.890487257866
74,5.00673524129162e+15,24101203131848.5,7.38280661403485e+20,1.84904810858087e+20,8.80401391213428e+18,4.47220491050615e-05,1.65301991195996e-05,70147938688.3104,1.40151664392437e-55,1027.3184649,215.271340823984
74.8,4.4600948382967e+15,50942315096706.3,6.56821908428425e+20,1.6385018303553e+20,7.82964999554862e+18,3.97527237561205e-05,20.9760784368038,75643734848.012,6.99370988789051e-55,1027.3184649,213.686837072621
75.6,3.9700006603499e+15,105767029468409,5.83789464506877e+20,1.45021969291369e+20,6.95608302973091e+18,3.53000144040835e-05,336529.094710407,81564276160.401,3.42775541613181e-54,1027.3184649,212.132543782647
76.4,3.53113429032939e+15,214939297392592,5.18390755872782e+20,1.28207654796873e+20,6.17383260766351e+18,3.13151645984892e-05,252578978.640925,87939509389.6864,1.65036080751208e-53,1027.3184649,210.604269227647
77.2,3.13859763181862e+15,426183753410284,4.59895847484531e+20,1.13211697329298e+20,5.4741676307441e+18,2.77532812458642e-05,22639696679.3453,94800816147.8632,7.8070749822139e-53,1027.3184649,209.098047819537
78,2.78789265023246e+15,822227629554147,4.0763442423199e+20,9.98546959327753e+19,4.84907020575516e+18,2.45731481010402e-05,468902451384.523,102180980470.905,3.62920244777808e-52,1027.3184649,207.610127723568
78.8,2.47489969863663e+15,1.53988463416911e+15,3.60992561304775e+20,8.79725045746624e+19,4.29119702063609e+18,2.17370265157493e-05,3553083248273.83,110114142404.748,1.6581353406443e-51,1027.3184649,206.13696022056
79.6,2.19585502521174e+15,2.79425276156453e+15,3.19409372682052e+20,7.74153146694758e+19,3.79383926322029e+18,1.92104489056314e-05,13530993983576.7,118635738126.527,7.44709263316443e-51,1027.3184649,204.675190615276
