# IRI ion data (2011-04-10T00:00:00 UTC, lat=40.793 lon=-77.860)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
7.000000e+01 3.525340e+07 2.232864e+02 2.232864e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.100000e+01 5.289967e+07 2.213723e+02 2.213723e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.200000e+01 7.541533e+07 2.193736e+02 2.193736e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.300000e+01 1.025504e+08 2.172931e+02 2.172931e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.400000e+01 1.335370e+08 2.152028e+02 2.152028e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.500000e+01 1.671744e+08 2.131194e+02 2.131194e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.600000e+01 2.020028e+08 2.110469e+02 2.110469e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.700000e+01 2.365272e+08 2.089891e+02 2.089891e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.800000e+01 2.694368e+08 2.069496e+02 2.069496e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.900000e+01 2.997790e+08 2.049315e+02 2.049315e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.000000e+01 3.270620e+08 2.029380e+02 2.029380e+02 6.583946e+00 7.344558e+05 3.263276e+08 3.196671e-01
8.100000e+01 3.512854e+08 2.009716e+02 2.009716e+02 8.917308e+00 8.539959e+05 3.504314e+08 4.353374e-01
8.200000e+01 3.729128e+08 1.990350e+02 1.990350e+02 1.181158e+01 9.700626e+05 3.719427e+08 5.798256e-01
8.300000e+01 3.928149e+08 1.971302e+02 1.971302e+02 1.132982e+01 1.142586e+06 3.916723e+08 5.592728e-01
8.400000e+01 4.130081e+08 1.952595e+02 1.952595e+02 2.513138e-01 1.447872e+06 4.115603e+08 1.247496e-02
8.500000e+01 4.474263e+08 1.934247e+02 1.934247e+02 3.705021e-03 1.715913e+06 4.457103e+08 1.849439e-04
8.600000e+01 5.251750e+08 1.916274e+02 1.916274e+02 1.280498e-04 2.381264e+06 5.227938e+08 6.427646e-06
8.700000e+01 7.025981e+08 1.898692e+02 1.898692e+02 1.041872e-05 4.288711e+06 6.983094e+08 5.258935e-07
8.800000e+01 1.125755e+09 1.881515e+02 1.881515e+02 2.006753e-06 1.105414e+07 1.114701e+09 1.018504e-07
8.900000e+01 1.863409e+09 1.864755e+02 1.864755e+02 6.306101e-07 3.031887e+07 1.833090e+09 3.218084e-08
9.000000e+01 2.826355e+09 1.848423e+02 1.848423e+02 2.395500e-07 6.967496e+07 2.756679e+09 1.232301e-08
9.100000e+01 3.975232e+09 1.832653e+02 1.832653e+02 1.073820e-07 1.374255e+08 3.837807e+09 6.043494e-09
9.200000e+01 5.240679e+09 1.818060e+02 1.818060e+02 5.581960e-08 2.390243e+08 5.001655e+09 7.938657e-09
9.300000e+01 6.538938e+09 1.805339e+02 1.805339e+02 3.313600e-08 3.878778e+08 6.151060e+09 3.867289e-08
9.400000e+01 7.789049e+09 1.795154e+02 1.795154e+02 2.219890e-08 5.725840e+08 7.216465e+09 2.011865e-07
9.500000e+01 8.926173e+09 1.788150e+02 1.788150e+02 1.658418e-08 7.811483e+08 8.145026e+09 8.373797e-07
9.600000e+01 9.908377e+09 1.784980e+02 1.784980e+02 1.366029e-08 9.986207e+08 8.909755e+09 2.810886e-06
9.700000e+01 1.071718e+10 1.786329e+02 1.786329e+02 1.227434e-08 1.210743e+09 9.506440e+09 7.850324e-06
9.800000e+01 1.135378e+10 1.792945e+02 1.792945e+02 1.191239e-08 1.406478e+09 9.947304e+09 1.878912e-05
9.900000e+01 1.183324e+10 1.805685e+02 1.805685e+02 1.237379e-08 1.578983e+09 1.025426e+10 3.954449e-05
1.000000e+02 1.217859e+10 1.825562e+02 1.825562e+02 1.364269e-08 1.725326e+09 1.045326e+10 7.480905e-05
1.010000e+02 1.241586e+10 1.853531e+02 1.853531e+02 1.584190e-08 1.845697e+09 1.057017e+10 1.295869e-04
1.020000e+02 1.257057e+10 1.889607e+02 1.889607e+02 1.921804e-08 1.942968e+09 1.062760e+10 2.088420e-04
1.030000e+02 1.266546e+10 1.933628e+02 1.933628e+02 2.421872e-08 2.021152e+09 1.064431e+10 3.173587e-04
1.040000e+02 1.271947e+10 1.985498e+02 1.985498e+02 6.086120e-08 2.084396e+09 1.063508e+10 4.597923e-04
1.050000e+02 1.274738e+10 2.045141e+02 2.045141e+02 6.375262e-06 2.136467e+09 1.061091e+10 6.408527e-04
1.060000e+02 1.276001e+10 2.112454e+02 2.112454e+02 5.588919e-04 2.180502e+09 1.057950e+10 8.655239e-04
1.070000e+02 1.276470e+10 2.187259e+02 2.187259e+02 2.388011e-02 2.218956e+09 1.054575e+10 1.139748e-03
1.080000e+02 1.276597e+10 2.269230e+02 2.269230e+02 5.642880e-01 2.253667e+09 1.051231e+10 1.492793e-03
1.090000e+02 1.276616e+10 2.357820e+02 2.357820e+02 8.212781e+00 2.286012e+09 1.048015e+10 2.503415e-03
1.100000e+02 1.276616e+10 2.452164e+02 2.452164e+02 8.035045e+01 2.317101e+09 1.044906e+10 1.256755e-02
1.110000e+02 1.269748e+10 2.551252e+02 2.551252e+02 5.613972e+02 2.324927e+09 1.037255e+10 1.103950e-01
1.120000e+02 1.251417e+10 2.654831e+02 2.654831e+02 2.943858e+03 2.293871e+09 1.022030e+10 7.976925e-01
1.130000e+02 1.224734e+10 2.762823e+02 2.762823e+02 1.216171e+04 2.234104e+09 1.001322e+10 4.385053e+00
1.140000e+02 1.192419e+10 2.875060e+02 2.875060e+02 4.107169e+04 2.154691e+09 9.769453e+09 1.890266e+01
1.150000e+02 1.156827e+10 2.991270e+02 2.991270e+02 1.164627e+05 2.063169e+09 9.504986e+09 6.597654e+01
1.160000e+02 1.119973e+10 3.111058e+02 3.111058e+02 2.824454e+05 1.965447e+09 9.233996e+09 1.910161e+02
1.170000e+02 1.083545e+10 3.233879e+02 3.233879e+02 5.936422e+05 1.866156e+09 8.968698e+09 4.671538e+02
1.180000e+02 1.048937e+10 3.359018e+02 3.359018e+02 1.094760e+06 1.769365e+09 8.718902e+09 9.811497e+02
1.190000e+02 1.017263e+10 3.485567e+02 3.485567e+02 1.798745e+06 1.679123e+09 8.491691e+09 1.803658e+03
1.200000e+02 9.893838e+09 3.612412e+02 3.612412e+02 2.683915e+06 1.599330e+09 8.291794e+09 2.971351e+03
1.210000e+02 9.659259e+09 3.738212e+02 3.748468e+02 3.698845e+06 1.530087e+09 8.125427e+09 4.503518e+03
1.220000e+02 9.473068e+09 3.861401e+02 3.884524e+02 4.763343e+06 1.475962e+09 7.992276e+09 6.493747e+03
1.230000e+02 9.337549e+09 3.980194e+02 4.020580e+02 5.672025e+06 1.437917e+09 7.893862e+09 9.145430e+03
1.240000e+02 9.253324e+09 4.093172e+02 4.156635e+02 6.081318e+06 1.417648e+09 7.829447e+09 1.265063e+04
1.250000e+02 9.219578e+09 4.203782e+02 4.292691e+02 5.807064e+06 1.416418e+09 7.797135e+09 1.700504e+04
1.260000e+02 9.234271e+09 4.312336e+02 4.428747e+02 5.109076e+06 1.432489e+09 7.796374e+09 2.207581e+04
1.270000e+02 9.294372e+09 4.418875e+02 4.564803e+02 4.405014e+06 1.462130e+09 7.827449e+09 2.794292e+04
1.280000e+02 9.396069e+09 4.523433e+02 4.700858e+02 3.911024e+06 1.502147e+09 7.889524e+09 3.496482e+04
1.290000e+02 9.534994e+09 4.626051e+02 4.836913e+02 3.664393e+06 1.550332e+09 7.980395e+09 4.363075e+04
1.300000e+02 9.706451e+09 4.726764e+02 4.972969e+02 3.640000e+06 1.605067e+09 8.097005e+09 5.445228e+04
1.310000e+02 9.905629e+09 4.825608e+02 5.109025e+02 3.811916e+06 1.665063e+09 8.235853e+09 6.791741e+04
1.320000e+02 1.012783e+10 4.922618e+02 5.245081e+02 4.168666e+06 1.728661e+09 8.393904e+09 8.460662e+04
