# IRI ion data (2026-06-22T17:00:00 UTC, lat=38.983 lon=-76.850)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
7.000000e+01 2.145579e+08 2.093200e+02 2.093200e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.100000e+01 2.464391e+08 2.063893e+02 2.063893e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.200000e+01 2.789577e+08 2.035627e+02 2.035627e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.300000e+01 3.115792e+08 2.008246e+02 2.008246e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.400000e+01 3.438249e+08 1.980671e+02 1.980671e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.500000e+01 3.753034e+08 1.953115e+02 1.953115e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.600000e+01 4.057339e+08 1.925975e+02 1.925975e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.700000e+01 4.349620e+08 1.899609e+02 1.899609e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.800000e+01 4.629671e+08 1.874332e+02 1.874332e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.900000e+01 4.898635e+08 1.850426e+02 1.850426e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.000000e+01 5.158978e+08 1.828142e+02 1.828142e+02 1.441229e+01 2.024058e+06 5.138737e+08 7.505961e-01
8.100000e+01 5.414439e+08 1.807708e+02 1.807708e+02 2.046743e+00 2.541222e+06 5.389027e+08 3.684465e-01
8.200000e+01 5.715621e+08 1.789334e+02 1.789334e+02 2.523502e+00 2.858164e+06 5.687039e+08 4.864672e-01
8.300000e+01 6.326444e+08 1.773218e+02 1.773218e+02 3.699194e+00 3.525887e+06 6.291185e+08 7.182121e-01
8.400000e+01 7.717031e+08 1.759552e+02 1.759552e+02 6.594903e+00 5.272114e+06 7.664309e+08 1.288686e+00
8.500000e+01 1.090294e+09 1.748529e+02 1.748529e+02 1.575559e+01 1.054356e+07 1.079750e+09 3.096294e+00
8.600000e+01 1.834172e+09 1.740350e+02 1.740350e+02 5.305587e+01 2.973510e+07 1.804436e+09 1.047503e+01
8.700000e+01 3.089825e+09 1.735232e+02 1.735232e+02 1.770334e+02 8.358030e+07 3.006243e+09 3.506471e+01
8.800000e+01 4.977807e+09 1.733412e+02 1.733412e+02 5.296920e+02 2.133858e+08 4.764415e+09 1.050541e+02
8.900000e+01 7.684998e+09 1.735165e+02 1.735165e+02 1.416868e+03 4.962749e+08 7.188707e+09 2.807099e+02
9.000000e+01 1.139305e+10 1.740805e+02 1.740805e+02 3.397177e+03 1.054657e+09 1.033835e+10 6.703928e+02
9.100000e+01 1.625221e+10 1.750564e+02 1.750564e+02 7.384166e+03 2.055117e+09 1.419701e+10 1.446621e+03
9.200000e+01 2.235349e+10 1.764162e+02 1.764162e+02 1.480406e+04 3.704695e+09 1.864863e+10 2.869196e+03
9.300000e+01 2.970431e+10 1.781204e+02 1.781204e+02 2.777474e+04 6.398995e+09 2.330502e+10 5.306756e+03
9.400000e+01 3.821314e+10 1.801300e+02 1.801300e+02 4.968239e+04 1.024384e+10 2.796876e+10 9.325428e+03
9.500000e+01 4.768705e+10 1.824049e+02 1.824049e+02 8.575016e+04 1.529852e+10 3.238764e+10 1.575505e+04
9.600000e+01 5.784348e+10 1.849022e+02 1.849022e+02 1.441517e+05 2.146427e+10 3.637778e+10 2.581647e+04
9.700000e+01 6.833499e+10 1.875749e+02 1.875749e+02 2.379802e+05 2.849088e+10 3.984186e+10 4.132516e+04
9.800000e+01 7.878283e+10 1.903706e+02 1.903706e+02 3.885209e+05 3.601684e+10 4.276252e+10 6.501507e+04
9.900000e+01 8.881387e+10 1.932301e+02 1.932301e+02 6.295478e+05 4.362771e+10 4.518094e+10 1.009518e+05
1.000000e+02 9.809512e+10 1.960869e+02 1.960869e+02 1.011028e+06 5.091698e+10 4.717048e+10 1.548712e+05
