# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
7.000000e+01 2.193036e+02 7.551843e-05 4.753968e+00 3.565779e-02 7.862418e+03 1.570100e+21 1.226768e+21 3.289669e+20 3.019822e+15 8.169585e+15 1.466126e+19 nan
7.046000e+01 2.183714e+02 7.069797e-05 4.431597e+00 3.323980e-02 7.862138e+03 1.469878e+21 1.148461e+21 3.079684e+20 2.979953e+15 7.648107e+15 1.372541e+19 nan
7.092000e+01 2.174512e+02 6.616340e-05 4.129877e+00 3.097671e-02 7.861857e+03 1.375600e+21 1.074799e+21 2.882154e+20 2.919953e+15 7.157558e+15 1.284507e+19 nan
7.138000e+01 2.165412e+02 6.190025e-05 3.847605e+00 2.885949e-02 7.861577e+03 1.286965e+21 1.005546e+21 2.696445e+20 2.841561e+15 6.696369e+15 1.201741e+19 nan
7.184000e+01 2.156386e+02 5.789425e-05 3.583599e+00 2.687928e-02 7.861296e+03 1.203676e+21 9.404698e+20 2.521939e+20 2.752444e+15 6.263000e+15 1.123968e+19 nan
7.230000e+01 2.147403e+02 5.413169e-05 3.336742e+00 2.502769e-02 7.861016e+03 1.125449e+21 8.793484e+20 2.358038e+20 2.660392e+15 5.855966e+15 1.050921e+19 nan
7.276000e+01 2.138434e+02 5.059991e-05 3.106012e+00 2.329707e-02 7.860736e+03 1.052020e+21 8.219759e+20 2.204189e+20 2.572273e+15 5.473897e+15 9.823540e+18 nan
7.322000e+01 2.129451e+02 4.728563e-05 2.890377e+00 2.167967e-02 7.860456e+03 9.831129e+20 7.681368e+20 2.059815e+20 2.494083e+15 5.115359e+15 9.180102e+18 nan
7.368000e+01 2.120428e+02 4.417725e-05 2.688932e+00 2.016871e-02 7.860175e+03 9.184869e+20 7.176423e+20 1.924411e+20 2.431100e+15 4.779094e+15 8.576637e+18 nan
7.414000e+01 2.111338e+02 4.126284e-05 2.500773e+00 1.875739e-02 7.859895e+03 8.578934e+20 6.702987e+20 1.797456e+20 2.388202e+15 4.463813e+15 8.010828e+18 nan
