# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
7.000000e+01 2.048504e+02 8.692257e-05 5.111248e+00 3.833762e-02 7.862418e+03 1.807202e+21 1.412023e+21 3.786444e+20 6.117569e+15 9.403278e+15 1.687527e+19 nan
7.046000e+01 2.034417e+02 8.117853e-05 4.740659e+00 3.555797e-02 7.862138e+03 1.687778e+21 1.318713e+21 3.536227e+20 6.076982e+15 8.781887e+15 1.576011e+19 nan
7.092000e+01 2.021723e+02 7.572870e-05 4.394806e+00 3.296385e-02 7.861857e+03 1.574471e+21 1.230183e+21 3.298825e+20 6.031301e+15 8.192324e+15 1.470207e+19 nan
7.138000e+01 2.010418e+02 7.056780e-05 4.072401e+00 3.054560e-02 7.861577e+03 1.467171e+21 1.146346e+21 3.074010e+20 5.981261e+15 7.634017e+15 1.370013e+19 nan
7.184000e+01 2.000230e+02 6.569788e-05 3.772150e+00 2.829353e-02 7.861296e+03 1.365921e+21 1.067236e+21 2.861871e+20 5.931365e+15 7.107188e+15 1.275467e+19 nan
7.230000e+01 1.990869e+02 6.111809e-05 3.492770e+00 2.619800e-02 7.861016e+03 1.270703e+21 9.928386e+20 2.662370e+20 5.886262e+15 6.611746e+15 1.186554e+19 nan
7.276000e+01 1.982055e+02 5.682361e-05 3.232972e+00 2.424935e-02 7.860736e+03 1.181417e+21 9.230764e+20 2.475298e+20 5.850668e+15 6.147169e+15 1.103181e+19 nan
7.322000e+01 1.973519e+02 5.280734e-05 2.991529e+00 2.243837e-02 7.860456e+03 1.097915e+21 8.578335e+20 2.300344e+20 5.828992e+15 5.712689e+15 1.025208e+19 nan
7.368000e+01 1.965003e+02 4.905946e-05 2.767219e+00 2.075591e-02 7.860175e+03 1.019993e+21 7.969506e+20 2.137082e+20 5.825880e+15 5.307242e+15 9.524459e+18 nan
7.414000e+01 1.956257e+02 4.556866e-05 2.558879e+00 1.919322e-02 7.859895e+03 9.474155e+20 7.402438e+20 1.985018e+20 5.845916e+15 4.929607e+15 8.846749e+18 nan
7.460000e+01 1.947042e+02 4.232262e-05 2.365404e+00 1.774203e-02 7.859615e+03 8.799272e+20 6.875129e+20 1.843617e+20 5.894104e+15 4.578449e+15 8.216556e+18 nan
7.506000e+01 1.937125e+02 3.930805e-05 2.185731e+00 1.639438e-02 7.859335e+03 8.172515e+20 6.385424e+20 1.712299e+20 5.975925e+15 4.252333e+15 7.631302e+18 nan
7.552000e+01 1.926289e+02 3.651169e-05 2.018883e+00 1.514291e-02 7.859055e+03 7.591126e+20 5.931165e+20 1.590486e+20 6.097603e+15 3.949822e+15 7.088413e+18 nan
7.598000e+01 1.914327e+02 3.391951e-05 1.863903e+00 1.398046e-02 7.858775e+03 7.052186e+20 5.510073e+20 1.477567e+20 6.266682e+15 3.669413e+15 6.585160e+18 nan
7.644000e+01 1.901163e+02 3.151641e-05 1.719941e+00 1.290065e-02 7.858495e+03 6.552559e+20 5.119697e+20 1.372885e+20 6.490468e+15 3.410171e+15 6.118617e+18 nan
7.690000e+01 1.887083e+02 2.928263e-05 1.586202e+00 1.189753e-02 7.858215e+03 6.088136e+20 4.756828e+20 1.275578e+20 6.773469e+15 3.170342e+15 5.684946e+18 nan
7.736000e+01 1.872430e+02 2.720041e-05 1.461970e+00 1.096571e-02 7.857935e+03 5.655223e+20 4.418578e+20 1.184874e+20 7.120367e+15 2.947748e+15 5.280699e+18 nan
7.782000e+01 1.857528e+02 2.525500e-05 1.346605e+00 1.010040e-02 7.857655e+03 5.250753e+20 4.102551e+20 1.100129e+20 7.537466e+15 2.740648e+15 4.903011e+18 nan
7.828000e+01 1.842685e+02 2.343448e-05 1.239550e+00 9.297413e-03 7.857375e+03 4.872250e+20 3.806811e+20 1.020825e+20 8.032196e+15 2.547521e+15 4.549570e+18 nan
7.874000e+01 1.828185e+02 2.172818e-05 1.140252e+00 8.552620e-03 7.857095e+03 4.517494e+20 3.529627e+20 9.464956e+19 8.614100e+15 2.367108e+15 4.218303e+18 nan
7.920000e+01 1.814297e+02 2.012796e-05 1.048252e+00 7.862558e-03 7.856815e+03 4.184793e+20 3.269680e+20 8.767821e+19 9.294116e+15 2.198355e+15 3.907607e+18 nan
7.966000e+01 1.801275e+02 1.862658e-05 9.630982e-01 7.223850e-03 7.856535e+03 3.872642e+20 3.025810e+20 8.113563e+19 1.008567e+16 2.040344e+15 3.616020e+18 nan
8.012000e+01 1.789355e+02 1.721795e-05 8.843730e-01 6.633361e-03 7.856255e+03 3.579775e+20 2.797024e+20 7.499568e+19 1.100425e+16 1.892311e+15 3.342390e+18 nan
8.058000e+01 1.778766e+02 1.589662e-05 8.116732e-01 6.088066e-03 7.855976e+03 3.305058e+20 2.582426e+20 6.923540e+19 1.206834e+16 1.753576e+15 3.085667e+18 nan
8.104000e+01 1.769728e+02 1.465792e-05 7.446228e-01 5.585146e-03 7.855696e+03 3.047520e+20 2.381261e+20 6.383409e+19 1.329940e+16 1.623571e+15 2.844943e+18 nan
8.150000e+01 1.762403e+02 1.349801e-05 6.828614e-01 5.121896e-03 7.855416e+03 2.806364e+20 2.192903e+20 5.877538e+19 1.472570e+16 1.501829e+15 2.619497e+18 nan
8.196000e+01 1.756694e+02 1.241516e-05 6.260457e-01 4.695742e-03 7.855136e+03 2.581230e+20 2.017060e+20 5.405244e+19 1.639909e+16 1.388099e+15 2.409015e+18 nan
8.242000e+01 1.752433e+02 1.140744e-05 5.738351e-01 4.304129e-03 7.854857e+03 2.371714e+20 1.853421e+20 4.965650e+19 1.839268e+16 1.282159e+15 2.213104e+18 nan
8.288000e+01 1.749466e+02 1.047235e-05 5.259051e-01 3.944624e-03 7.854577e+03 2.177301e+20 1.701581e+20 4.557696e+19 2.080304e+16 1.183712e+15 2.031310e+18 nan
