timestep,alt_100km,alt_110km,alt_120km,alt_130km,alt_140km,alt_150km,alt_160km,alt_170km,alt_180km,alt_190km,alt_200km,alt_210km,alt_220km,alt_230km,alt_240km,alt_250km,alt_260km,alt_270km,alt_280km,alt_290km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1.30966e-05,1.93457e-06,4.01539e-07,1.37151e-07,6.60704e-08,3.73779e-08,2.38362e-08,1.6167e-08,1.14765e-08,8.46377e-09,6.52221e-09,5.06746e-09,3.94322e-09,3.16089e-09,2.5788e-09,2.12405e-09,1.76408e-09,1.4486e-09,1.21472e-09,1.03823e-09,8.6993e-10
200,6.58735e-06,9.71927e-07,2.01915e-07,6.91741e-08,3.32897e-08,1.88096e-08,1.20045e-08,8.14634e-09,5.78814e-09,4.26371e-09,3.28638e-09,2.55165e-09,1.98626e-09,1.5936e-09,1.29888e-09,1.06895e-09,8.89316e-10,7.29179e-10,6.11735e-10,5.22553e-10,4.38009e-10
300,4.39177e-06,6.4955e-07,1.34831e-07,4.61497e-08,2.22329e-08,1.25653e-08,8.02608e-09,5.43743e-09,3.86242e-09,2.84911e-09,2.1952e-09,1.70425e-09,1.32574e-09,1.06363e-09,8.67322e-10,7.14806e-10,5.93747e-10,4.87501e-10,4.08932e-10,3.49444e-10,2.92328e-10
400,3.29859e-06,4.87352e-07,1.01218e-07,3.46264e-08,1.66861e-08,9.42595e-09,6.02389e-09,4.08199e-09,2.89843e-09,2.13787e-09,1.64819e-09,1.27934e-09,9.95848e-10,7.97643e-10,6.51222e-10,5.36431e-10,4.45728e-10,3.65975e-10,3.06744e-10,2.62161e-10,2.19614e-10
500,2.64207e-06,3.9022e-07,8.10336e-08,2.77329e-08,1.33601e-08,7.54842e-09,4.81745e-09,3.26808e-09,2.31999e-09,1.71119e-09,1.31816e-09,1.02469e-09,7.97217e-10,6.39484e-10,5.21227e-10,4.29176e-10,3.56654e-10,2.92713e-10,2.45437e-10,2.09826e-10,1.75726e-10
600,2.20072e-06,3.24858e-07,6.75525e-08,2.31126e-08,1.11361e-08,6.28621e-09,4.01647e-09,2.72379e-09,1.93551e-09,1.42686e-09,1.099e-09,8.52862e-10,6.64128e-10,5.32566e-10,4.34347e-10,3.57881e-10,2.97237e-10,2.44239e-10,2.04754e-10,1.74859e-10,1.46511e-10
700,1.88852e-06,2.78615e-07,5.78807e-08,1.98238e-08,9.53974e-09,5.39441e-09,3.44435e-09,2.33508e-09,1.65789e-09,1.22237e-09,9.42775e-10,7.32081e-10,5.69292e-10,4.56507e-10,3.7269e-10,3.06802e-10,2.54937e-10,2.0914e-10,1.75477e-10,1.50004e-10,1.25625e-10
800,1.65281e-06,2.44105e-07,5.06473e-08,1.73497e-08,8.35586e-09,4.71637e-09,3.01375e-09,2.04293e-09,1.45159e-09,1.07071e-09,8.24708e-10,6.40439e-10,4.98038e-10,3.99339e-10,3.25834e-10,2.68669e-10,2.23245e-10,1.83093e-10,1.53583e-10,1.31266e-10,1.09862e-10
900,1.46816e-06,2.16867e-07,4.50849e-08,1.54284e-08,7.42848e-09,4.19529e-09,2.6798e-09,1.81822e-09,1.29082e-09,9.51717e-10,7.336e-10,5.6972e-10,4.43347e-10,3.5554e-10,2.89694e-10,2.38658e-10,1.9827e-10,1.62777e-10,1.36547e-10,1.16716e-10,9.77685e-11
