timestep,alt_100km,alt_110km,alt_120km,alt_130km,alt_140km,alt_150km,alt_160km,alt_170km,alt_180km,alt_190km,alt_200km
0,0,0,0,0,0,0,0,0,0,0,0
100,0.000705643,0.000102656,2.112e-05,7.29449e-06,3.48334e-06,1.98681e-06,1.25198e-06,8.48553e-07,6.03734e-07,4.44768e-07,3.38304e-07
200,0.000708134,0.000103311,2.12219e-05,7.33034e-06,3.50225e-06,1.99655e-06,1.25842e-06,8.52485e-07,6.06441e-07,4.47011e-07,3.39792e-07
300,0.000709545,0.000103546,2.12558e-05,7.33855e-06,3.50809e-06,1.99885e-06,1.26155e-06,8.53262e-07,6.06908e-07,4.48077e-07,3.40143e-07
400,0.000711014,0.000103628,2.12778e-05,7.34434e-06,3.51346e-06,2.00095e-06,1.26244e-06,8.53689e-07,6.07218e-07,4.48429e-07,3.40261e-07
500,0.000711326,0.000103678,2.12926e-05,7.3514e-06,3.51652e-06,2.00194e-06,1.26357e-06,8.54493e-07,6.07686e-07,4.48456e-07,3.40464e-07
600,0.000711813,0.000103727,2.13106e-05,7.35368e-06,3.51721e-06,2.00268e-06,1.26394e-06,8.55229e-07,6.08147e-07,4.48697e-07,3.40527e-07
700,0.000712456,0.000103776,2.13117e-05,7.35421e-06,3.51904e-06,2.00275e-06,1.26433e-06,8.55768e-07,6.08397e-07,4.48667e-07,3.40547e-07
800,0.000713352,0.000103812,2.13099e-05,7.35506e-06,3.52048e-06,2.00345e-06,1.26447e-06,8.55983e-07,6.08562e-07,4.48861e-07,3.40595e-07
900,0.000713888,0.000103852,2.13078e-05,7.35567e-06,3.52183e-06,2.0034e-06,1.26443e-06,8.56168e-07,6.08574e-07,4.48938e-07,3.40622e-07
1000,0.000714471,0.000103866,2.13027e-05,7.35715e-06,3.52227e-06,2.00354e-06,1.26459e-06,8.55958e-07,6.08549e-07,4.48924e-07,3.40655e-07
1100,0.000714956,0.00010388,2.13036e-05,7.35771e-06,3.523e-06,2.00405e-06,1.2644e-06,8.56206e-07,6.08609e-07,4.49009e-07,3.40703e-07
1200,0.000715303,0.000103925,2.13028e-05,7.35805e-06,3.52367e-06,2.00395e-06,1.26454e-06,8.56253e-07,6.08742e-07,4.49006e-07,3.40694e-07
1300,0.000715791,0.000103937,2.13039e-05,7.35784e-06,3.52408e-06,2.00424e-06,1.26455e-06,8.56428e-07,6.08848e-07,4.49012e-07,3.40762e-07
1400,0.000716201,0.000103955,2.1305e-05,7.35789e-06,3.5247e-06,2.00466e-06,1.26462e-06,8.56564e-07,6.08806e-07,4.4906e-07,3.40741e-07
1500,0.000716468,0.000103986,2.13047e-05,7.35775e-06,3.52438e-06,2.00471e-06,1.26478e-06,8.56524e-07,6.08853e-07,4.49037e-07,3.40808e-07
1600,0.000716766,0.000104008,2.13055e-05,7.35781e-06,3.52433e-06,2.00493e-06,1.26487e-06,8.56498e-07,6.08829e-07,4.49064e-07,3.40884e-07
1700,0.000717099,0.000104016,2.13081e-05,7.35816e-06,3.52464e-06,2.00499e-06,1.26483e-06,8.56466e-07,6.08892e-07,4.49109e-07,3.40851e-07
1800,0.000717288,0.000104019,2.13102e-05,7.35829e-06,3.52443e-06,2.00485e-06,1.26506e-06,8.56438e-07,6.08961e-07,4.4912e-07,3.40806e-07
1900,0.00071755,0.000104029,2.1311e-05,7.35837e-06,3.52436e-06,2.00498e-06,1.26517e-06,8.56434e-07,6.0893e-07,4.49142e-07,3.4081e-07
2000,0.000717746,0.000104029,2.1313e-05,7.35829e-06,3.52423e-06,2.00501e-06,1.26519e-06,8.56465e-07,6.08994e-07,4.49186e-07,3.40831e-07
