# Time-averaged data for fix boxprops
# TimeStep v_ux_avg v_rho_avg v_nrho_avg
0 7862.38 7.96401e-05 1.65856e+21
100 7860.7 7.96395e-05 1.65855e+21
200 7859.03 7.96389e-05 1.65854e+21
300 7857.35 7.96385e-05 1.65853e+21
400 7855.69 7.96381e-05 1.65852e+21
500 7854.05 7.96378e-05 1.65851e+21
600 7852.41 7.96374e-05 1.6585e+21
700 7850.79 7.9637e-05 1.65849e+21
800 7849.18 7.96367e-05 1.65848e+21
900 7847.58 7.96362e-05 1.65847e+21
1000 7845.99 7.96358e-05 1.65846e+21
1100 7844.41 7.96354e-05 1.65846e+21
1200 7842.84 7.9635e-05 1.65845e+21
1300 7841.28 7.96346e-05 1.65843e+21
1400 7839.74 7.96341e-05 1.65842e+21
1500 7838.2 7.96336e-05 1.65841e+21
1600 7836.67 7.96331e-05 1.6584e+21
1700 7835.15 7.96327e-05 1.65839e+21
1800 7833.65 7.96322e-05 1.65838e+21
1900 7832.15 7.96317e-05 1.65837e+21
