# Time-averaged data for fix dragout
# TimeStep c_drag c_drag_xnorm c_drag_walls
0 0 0 0
100 5706.48 5328.41 378.068
200 5744.82 5340.11 404.71
300 5749.62 5354.03 395.591
400 5740.87 5361.94 378.928
500 5714.03 5357.15 356.882
600 5688.44 5350.27 338.172
700 5661.13 5339.19 321.94
800 5635.89 5327.33 308.566
900 5609.39 5311.4 297.994
1000 5583.72 5294.44 289.279
1100 5557.85 5275.95 281.893
1200 5532.61 5256.67 275.938
1300 5505.59 5234.83 270.761
1400 5479.49 5212.93 266.566
1500 5454.81 5191.76 263.055
1600 5428.44 5168.16 260.275
1700 5402.69 5144.89 257.791
1800 5377.54 5121.74 255.792
1900 5352.78 5098.83 253.954
