# Time-averaged data for fix boxprops
# TimeStep v_ux_avg v_rho_avg v_nrho_avg
0 7862.4 7.96401e-05 1.65856e+21
100 7850.23 7.96402e-05 1.65857e+21
200 7838.66 7.96401e-05 1.65857e+21
300 7827.74 7.96401e-05 1.65856e+21
400 7817.41 7.9669e-05 1.65917e+21
500 7807.59 7.97192e-05 1.66021e+21
600 7798.19 7.97818e-05 1.66152e+21
700 7789.1 7.98524e-05 1.66299e+21
800 7780.24 7.99286e-05 1.66457e+21
900 7771.55 8.00088e-05 1.66624e+21
1000 7763 8.00919e-05 1.66797e+21
1100 7754.59 8.01775e-05 1.66976e+21
