timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6101.77,2875.2,1336.43,597.591,241.492,99.6882,39.4939,14.2148,5.55813,2.50552,1.43298,0.827274,0.495342,0.328646,0.24578,0.17832,0.129664,0.105702,0.0813181,0.0682177,0.0577171,0.0481041,0.0393595,0.0333914,0.0296123,0.0254029,0.0215239,0.0184022,0.0165999,0.0144451,0.012924,0.0114296,0.00984995,0.00902718,0.00784521,0.00683156,0.00649374,0.00630767,0.00519145,0.00477149,0.00460336,0.00421248,0.00357553,0.00351952,0.00296742,0.00290387,0.00271045
200,6420.94,2957.53,1367.3,599.983,248.018,102.441,39.4025,14.6075,5.5569,2.58263,1.41525,0.820622,0.510035,0.337909,0.242589,0.18245,0.130515,0.108078,0.0868971,0.070326,0.0585827,0.0485421,0.0407744,0.0343821,0.0303561,0.0256959,0.022276,0.0193979,0.0178337,0.0151257,0.013534,0.011936,0.0103608,0.00931513,0.00835677,0.00744546,0.00665446,0.00628205,0.00549541,0.00493988,0.00474858,0.00438293,0.00380742,0.00351849,0.00317608,0.00299183,0.00269974
300,6527.5,3027.59,1379.2,595.364,250.388,104.917,38.7962,14.7374,5.54683,2.60077,1.4602,0.80927,0.512072,0.331351,0.247112,0.180115,0.131775,0.105865,0.0862576,0.0706284,0.0577016,0.048283,0.0404129,0.0348253,0.0304005,0.0256008,0.0229811,0.0198384,0.0175285,0.015096,0.0132512,0.0120839,0.0105309,0.00929012,0.00843462,0.00763,0.00682342,0.00616161,0.00567619,0.00501394,0.00469871,0.00432665,0.00392776,0.00355701,0.0032308,0.00295728,0.00274523
400,6764.4,3104.78,1398.67,599.175,253.519,103.813,39.2418,14.6584,5.66157,2.64114,1.45434,0.811194,0.511391,0.33446,0.247613,0.184633,0.136193,0.105288,0.0864623,0.0713003,0.0578014,0.0487409,0.0403441,0.0351439,0.0305783,0.0261915,0.0229681,0.0199115,0.0176776,0.0152849,0.0133402,0.012339,0.0105883,0.00949973,0.00848134,0.00777594,0.00681984,0.00624578,0.00563475,0.00510094,0.00470752,0.00433994,0.00392656,0.00358317,0.00325542,0.00295617,0.00273667
500,6685.75,3162.92,1413.62,602.541,256.325,104.181,39.3232,14.4643,5.65305,2.64045,1.44577,0.810461,0.511273,0.334401,0.246534,0.181304,0.1351,0.106973,0.0862148,0.0703341,0.0578747,0.0486201,0.0406321,0.0349675,0.0307977,0.0259567,0.0229515,0.0197352,0.0175976,0.0151551,0.0136446,0.0122409,0.0106746,0.00950562,0.00852904,0.00775522,0.00690162,0.00624284,0.00565037,0.0051313,0.00468216,0.00434666,0.00397994,0.00359344,0.00326619,0.00299277,0.00272951
600,6641.61,3125.37,1420.19,607.262,256.692,103.741,39.2781,14.5133,5.63186,2.65702,1.449,0.818348,0.511402,0.337643,0.246711,0.183335,0.137567,0.107058,0.0873045,0.0709453,0.057817,0.0487178,0.0405773,0.0354448,0.030786,0.0260388,0.0232976,0.0196279,0.0174936,0.0152296,0.0135814,0.0122222,0.0108082,0.00960557,0.00854621,0.00774967,0.00685417,0.00627129,0.00566605,0.00515947,0.00471323,0.0043575,0.00391859,0.00357951,0.0032467,0.00296808,0.00273136
700,6631.52,3136.16,1434.53,615.767,257.663,104.002,38.834,14.4995,5.62997,2.66328,1.4467,0.811569,0.510822,0.339435,0.247176,0.18205,0.136818,0.107508,0.0869152,0.0711788,0.0577352,0.0485697,0.0403696,0.0355007,0.0303388,0.0259859,0.0231784,0.0195531,0.0175554,0.0153454,0.0136121,0.0122737,0.0107982,0.00960648,0.00861934,0.00780984,0.00686406,0.00627928,0.00569091,0.00513735,0.00466945,0.00434539,0.00393379,0.003583,0.00327108,0.00298729,0.00273726
800,6634.53,3143.91,1423.21,615.633,259.738,103.243,38.7234,14.4927,5.62515,2.65406,1.43233,0.814664,0.512909,0.338207,0.246264,0.182182,0.136584,0.107867,0.0870771,0.0706941,0.0580889,0.0484314,0.0404272,0.0353283,0.0301294,0.0258678,0.0230265,0.0196657,0.0173671,0.0152437,0.0135858,0.0121743,0.0106617,0.00962836,0.00858285,0.00774331,0.00685746,0.0062671,0.00566976,0.00511972,0.00465533,0.00432482,0.00389492,0.0035772,0.00323854,0.00297436,0.0027314
900,6622.58,3138.27,1432.31,617.918,258.741,103.742,38.7315,14.4819,5.61083,2.65785,1.42686,0.811744,0.511134,0.33995,0.244449,0.181297,0.136433,0.10736,0.0867652,0.0700746,0.0582242,0.0484649,0.0404157,0.0351344,0.030293,0.0258516,0.0228687,0.0196434,0.0174176,0.0153118,0.0135391,0.012137,0.0107085,0.0096408,0.00862517,0.00774028,0.00693268,0.00624254,0.00570933,0.005154,0.0046619,0.0042882,0.00390831,0.00358217,0.00326238,0.00297147,0.00274076
