timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5911.72,2823.16,1263.56,577.323,229.497,94.17,38.4797,13.6357,5.23367,2.35774,1.33047,0.78051,0.46088,0.299328,0.227796,0.160761,0.117631,0.0950102,0.0740566,0.0605094,0.0523856,0.0421195,0.0349534,0.0304743,0.0268482,0.0223316,0.0192602,0.0165435,0.0145904,0.0127988,0.011318,0.0100259,0.00867338,0.00779218,0.00667031,0.0058676,0.00576825,0.00540196,0.00452947,0.00411727,0.00398534,0.00363952,0.00314388,0.00309271,0.00256784,0.00254183,0.00231476
200,6208.69,2866.19,1295.22,577.598,235.883,97.374,38.4533,14.0472,5.31489,2.4546,1.32168,0.767265,0.470155,0.3121,0.22568,0.165291,0.119847,0.0979361,0.0787839,0.0631642,0.0529214,0.0429538,0.0366769,0.0308274,0.0273021,0.0228746,0.0195783,0.0170633,0.0156963,0.0132328,0.0118646,0.0105224,0.00911192,0.00806373,0.00721208,0.00651497,0.0058877,0.00547607,0.00479838,0.00422542,0.00415157,0.00379525,0.00333474,0.00311212,0.00276856,0.00259311,0.00234813
300,6260.96,2894.33,1300.16,566.609,239.15,100.331,37.8702,14.1174,5.29271,2.47528,1.36178,0.754786,0.4742,0.307797,0.22826,0.164046,0.120978,0.0958731,0.0780606,0.0635155,0.0521156,0.0427328,0.0361985,0.0312593,0.027088,0.0227592,0.0202819,0.0174893,0.0154438,0.0133033,0.0116153,0.0106715,0.00919612,0.00817531,0.00736651,0.00663723,0.00604503,0.00541666,0.00488507,0.00431683,0.00404776,0.00374602,0.00340162,0.00310057,0.00280915,0.00255258,0.00238535
400,6473.39,2961.68,1309.34,571.598,241.349,99.5865,38.1154,14.0534,5.39138,2.49973,1.36217,0.755919,0.474848,0.308632,0.227964,0.1685,0.124862,0.0956261,0.0780309,0.0641997,0.052148,0.0432916,0.0361569,0.0313076,0.0270932,0.0231309,0.0201814,0.017485,0.0155617,0.0133669,0.0117405,0.0108108,0.0092702,0.00830867,0.00738702,0.0067566,0.00598155,0.00548296,0.0048666,0.00441401,0.0040594,0.00376386,0.00340029,0.00310842,0.00283183,0.00255843,0.00238053
500,6381.27,3013.18,1314.59,570.749,243.276,99.665,38.0421,13.8702,5.38518,2.49611,1.35441,0.756145,0.476163,0.307382,0.22695,0.165078,0.123644,0.0966577,0.077899,0.0628663,0.05165,0.0432629,0.036278,0.031106,0.0272562,0.0228786,0.0201435,0.0173021,0.0154984,0.0132201,0.0119694,0.0106416,0.00930115,0.00835317,0.00743397,0.00677888,0.00599677,0.00545708,0.00489297,0.00443159,0.00405218,0.0037467,0.00344367,0.00311481,0.00283355,0.00258404,0.00237278
600,6328.39,2969.6,1316.17,573.876,242.371,98.9603,37.9834,13.8504,5.36953,2.51503,1.36262,0.763511,0.473099,0.309178,0.226113,0.166277,0.125871,0.0966671,0.0788836,0.0635483,0.0516336,0.0434465,0.0362219,0.0313877,0.0272059,0.0230787,0.0204999,0.0172777,0.0153684,0.0133338,0.0118544,0.0105933,0.00942118,0.00839497,0.00744317,0.00675351,0.00596999,0.00553225,0.00490089,0.00446084,0.00411022,0.00377729,0.00339339,0.00311829,0.00282437,0.00257544,0.00237363
700,6325.3,2972.63,1326.97,578.916,242.855,99.0206,37.4579,13.8366,5.36485,2.51501,1.36247,0.755618,0.471586,0.310219,0.226707,0.164741,0.125068,0.09729,0.0784195,0.0638454,0.0516191,0.0433165,0.0359758,0.0314401,0.0268047,0.0229778,0.0203481,0.0172095,0.0153658,0.013435,0.0118902,0.0106521,0.00936721,0.00840954,0.00750129,0.00681141,0.00599216,0.00551784,0.00493008,0.0044425,0.00405154,0.00375652,0.00340868,0.00312029,0.00283354,0.00258931,0.00238244
800,6303.29,2974.53,1315.05,577.696,243.782,98.3355,37.3957,13.8395,5.35153,2.50117,1.34534,0.758678,0.473408,0.309572,0.224566,0.164907,0.124534,0.0974519,0.0784045,0.0634798,0.051887,0.0430296,0.0360223,0.0312375,0.0265952,0.0229695,0.0202056,0.01733,0.0152767,0.0134142,0.0118985,0.0105575,0.00931646,0.00846522,0.00747738,0.00676815,0.00599701,0.00550336,0.00492382,0.00443197,0.00403548,0.00375149,0.00337581,0.0031063,0.00281303,0.00257619,0.00237681
900,6289.13,2970.93,1322.81,577.949,241.931,98.7627,37.3193,13.8266,5.33932,2.50777,1.34109,0.755459,0.471627,0.31107,0.22302,0.163966,0.124302,0.0972705,0.0782292,0.0629935,0.0521996,0.0431363,0.0360187,0.0311479,0.0267648,0.0228943,0.0201375,0.0173582,0.015273,0.0133999,0.0118746,0.0105403,0.00933485,0.00846949,0.00751426,0.00675396,0.00605588,0.00547793,0.00495238,0.00445783,0.00404192,0.00371215,0.00338583,0.00310495,0.00283107,0.00257873,0.00238224
1000,6261.67,2967.74,1314.35,578.496,242.987,98.8758,37.3166,13.8596,5.34978,2.4954,1.34068,0.760072,0.473228,0.310881,0.222471,0.163185,0.125029,0.0966153,0.0785464,0.0628472,0.0521673,0.0427974,0.035926,0.0313428,0.0266444,0.0228902,0.0201651,0.017438,0.0152973,0.013385,0.0118503,0.0105374,0.00930298,0.00844506,0.00753412,0.00674191,0.0060399,0.00549616,0.00494089,0.0044258,0.00407785,0.00372591,0.00338002,0.00310256,0.00281137,0.00257869,0.00236982
1100,6243.45,2966.28,1315.1,580.227,244.019,99.2096,37.355,13.7532,5.35519,2.48815,1.33896,0.761862,0.473779,0.312437,0.223476,0.16386,0.1251,0.0965357,0.0782057,0.0629555,0.0526118,0.0432407,0.0359071,0.031269,0.0264901,0.0229521,0.0201375,0.0173544,0.0153212,0.0133903,0.011909,0.0105615,0.00926623,0.00843424,0.00751121,0.00672015,0.00605447,0.00546449,0.00493167,0.00445379,0.00406631,0.00372427,0.00337415,0.00308924,0.00281433,0.00258181,0.00238616
