timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,190.053,52.0414,72.8765,20.2679,11.9953,5.51825,1.01418,0.579123,0.324465,0.147774,0.102504,0.0467643,0.0344616,0.0293177,0.0179842,0.0175596,0.0120326,0.0106922,0.00726149,0.00770831,0.0053315,0.00598465,0.00440608,0.00291712,0.00276407,0.00307126,0.00226363,0.00185872,0.00200944,0.00164626,0.00160602,0.00140362,0.00117657,0.001235,0.0011749,0.000963964,0.000725487,0.000905711,0.000661976,0.000654217,0.000618027,0.000572954,0.000431651,0.000426818,0.000399577,0.000362043,0.000395691
200,212.245,91.3484,72.084,22.3854,12.1355,5.06727,0.94929,0.560293,0.242009,0.128029,0.0935684,0.053357,0.0398802,0.0258094,0.016909,0.0171589,0.0106679,0.0101414,0.00811318,0.00716186,0.00566126,0.0055883,0.00409751,0.00355475,0.00305404,0.0028213,0.00269766,0.00233468,0.00213745,0.00189286,0.00166945,0.00141359,0.00124883,0.0012514,0.00114469,0.000930486,0.000766765,0.000805979,0.000697031,0.000714454,0.000597007,0.000587684,0.000472677,0.000406377,0.000407517,0.000398718,0.000351615
300,266.539,133.262,79.037,28.7554,11.2384,4.58527,0.926075,0.62002,0.254119,0.125482,0.0984134,0.0544836,0.0378718,0.0235547,0.0188518,0.0160692,0.010797,0.00999139,0.00819694,0.0071129,0.00558595,0.0055502,0.00421434,0.00356597,0.00331241,0.00284156,0.00269916,0.00234913,0.00208469,0.00179267,0.00163594,0.00141236,0.00133478,0.0011148,0.00106811,0.00099277,0.000778394,0.000744953,0.00079112,0.000697116,0.000650946,0.000580632,0.000526137,0.00045644,0.000421654,0.00040469,0.000359873
400,291.015,143.101,89.3267,27.5765,12.17,4.22672,1.12639,0.605002,0.270192,0.141416,0.0921782,0.0552754,0.0365427,0.0258274,0.0196491,0.0161322,0.0113307,0.00966188,0.00843143,0.00710061,0.00565347,0.0054493,0.00418726,0.00383628,0.00348503,0.00306066,0.00278669,0.00242652,0.00211584,0.00191805,0.00159963,0.00152816,0.00131807,0.00119106,0.00109432,0.00101934,0.000838291,0.000762817,0.00076815,0.000686931,0.000648123,0.000576079,0.000526271,0.000474751,0.000423595,0.000397734,0.000356141
500,304.487,149.731,99.0291,31.7918,13.0486,4.51579,1.28108,0.594084,0.267868,0.144344,0.091357,0.0543152,0.0351107,0.0270193,0.0195835,0.0162257,0.0114557,0.010315,0.00831577,0.00746782,0.00622469,0.00535711,0.00435414,0.00386149,0.00354156,0.0030781,0.00280805,0.00243317,0.00209925,0.00193494,0.00167526,0.00159937,0.00137347,0.00115245,0.00109507,0.000976342,0.000904852,0.000785756,0.000757395,0.000699707,0.00062998,0.000599964,0.000536269,0.000478628,0.000432634,0.000408726,0.000356732
600,313.221,155.765,104.019,33.386,14.3209,4.78094,1.29465,0.662984,0.262325,0.141988,0.0863742,0.0548374,0.0383026,0.0284649,0.0205978,0.0170578,0.011696,0.0103907,0.00842089,0.00739707,0.0061834,0.00527124,0.00435536,0.0040571,0.00358019,0.00296011,0.00279766,0.00235022,0.00212519,0.00189578,0.00172699,0.00162893,0.00138699,0.0012106,0.00110304,0.000996159,0.000884182,0.00073904,0.000765159,0.000698631,0.00060301,0.000580211,0.000525193,0.000461218,0.00042233,0.000392643,0.00035773
700,306.214,163.53,107.565,36.8514,14.8083,4.98094,1.3761,0.662866,0.265123,0.148273,0.0842319,0.0559509,0.0392364,0.0292162,0.0204684,0.0173094,0.0117499,0.0102175,0.00849574,0.00733334,0.00611612,0.00525316,0.00439387,0.00406058,0.0035341,0.00300805,0.00283032,0.00234361,0.00218959,0.0019104,0.00172191,0.00162157,0.00143103,0.00119694,0.00111804,0.000998431,0.000871903,0.000761443,0.00076083,0.000694852,0.00061791,0.00058887,0.000525106,0.000462706,0.000437538,0.00039798,0.000354813
800,331.238,169.374,108.162,37.9374,15.9554,4.9073,1.32766,0.653116,0.273626,0.15289,0.0869914,0.0559852,0.0395019,0.0286349,0.0216975,0.0172752,0.0120503,0.0104146,0.00867265,0.00721424,0.00620191,0.00540172,0.00440494,0.00409086,0.00353425,0.00289829,0.00282088,0.00233568,0.00209042,0.00182954,0.00168724,0.00161685,0.00134519,0.00116314,0.00110547,0.000975158,0.000860453,0.000763747,0.000745944,0.000687754,0.000619852,0.000573333,0.00051911,0.000470906,0.000425512,0.000398165,0.00035459
900,333.455,167.342,109.504,39.9686,16.8096,4.97942,1.41226,0.655329,0.271516,0.150086,0.0857696,0.0562854,0.0395066,0.02888,0.0214289,0.0173311,0.0121311,0.0100895,0.00853599,0.00708103,0.0060246,0.00532855,0.00439701,0.00398648,0.00352823,0.0029573,0.00273123,0.0022852,0.00214466,0.00191198,0.00166455,0.0015967,0.00137369,0.0011713,0.0011109,0.000986321,0.000876796,0.000764612,0.000756951,0.000696172,0.000619976,0.000576043,0.000522488,0.000477212,0.000431308,0.000392739,0.000358523
1000,323.002,171.851,108.251,41.2873,18.0384,5.2152,1.4627,0.677163,0.273446,0.150332,0.0870947,0.0580383,0.0383837,0.0287085,0.0219815,0.0169172,0.0121744,0.0100867,0.00837095,0.00698782,0.0060526,0.0054569,0.00455422,0.00397074,0.00358722,0.00301595,0.00266603,0.0023139,0.00212647,0.0018893,0.00163846,0.0015726,0.00136258,0.0011629,0.0011088,0.000987117,0.000867867,0.00077828,0.000765754,0.000702385,0.000628395,0.000581034,0.00052555,0.000489937,0.00043833,0.000397249,0.000353696
1100,330.452,173.09,108.639,43.2777,18.5598,5.60964,1.53324,0.694267,0.266829,0.152913,0.084943,0.0586496,0.0379182,0.028233,0.022123,0.0169344,0.0125377,0.0103766,0.00850006,0.00686076,0.00594612,0.00540672,0.00457842,0.00396076,0.00359918,0.00296559,0.00270942,0.00225884,0.00209115,0.0018867,0.00165072,0.00156432,0.00134292,0.00116929,0.00110394,0.000963885,0.000863153,0.000771792,0.000749219,0.00069497,0.000622002,0.000564999,0.000516813,0.000483161,0.000432352,0.00038712,0.000361012
1200,327.593,170.926,108.734,43.3192,18.7567,5.68993,1.58017,0.683005,0.265834,0.150389,0.0854019,0.059819,0.0385087,0.0274518,0.0223739,0.0168478,0.0124226,0.0102466,0.00859112,0.00691906,0.00580506,0.00539446,0.00454463,0.0039003,0.00352833,0.00296086,0.00268857,0.00228141,0.00208731,0.00190058,0.00161115,0.00154196,0.00131285,0.00117075,0.00108781,0.000931051,0.000857137,0.00076601,0.000743476,0.000693649,0.000612573,0.000554793,0.000512812,0.000479527,0.000428628,0.000383764,0.000360204
1300,327.473,171.089,107.076,43.1365,19.1534,5.91683,1.60271,0.711287,0.272659,0.149352,0.0873395,0.0601438,0.0379276,0.0275775,0.0219488,0.0165729,0.0124885,0.0103147,0.00841875,0.00712433,0.00582519,0.00535667,0.00449454,0.00388548,0.00353372,0.002962,0.0026723,0.00225036,0.00207343,0.00186959,0.00159429,0.00152758,0.00129087,0.00116998,0.00106632,0.000913984,0.000853243,0.000766366,0.000733994,0.000686608,0.00060709,0.000555332,0.00050234,0.000476746,0.000428349,0.000382634,0.000360835
1400,328.023,168.688,107.649,43.9546,18.9086,6.02289,1.58028,0.713738,0.27225,0.151646,0.0884533,0.0598726,0.0377992,0.0272173,0.0215079,0.0165447,0.0125483,0.0101936,0.00849763,0.00702589,0.0057738,0.00533596,0.00455348,0.00389926,0.00351536,0.00294665,0.00264665,0.00222213,0.00207015,0.00187459,0.0015906,0.00150684,0.00131716,0.00117944,0.0010926,0.00094192,0.000866262,0.000779838,0.000737978,0.000698704,0.000614955,0.000558396,0.000512278,0.000486424,0.000431537,0.000385514,0.000364167
1500,325.878,169.249,106.566,44.321,19.1018,6.34537,1.60545,0.694852,0.274285,0.147563,0.0895768,0.0611738,0.037557,0.0268599,0.0213747,0.0163939,0.0125977,0.0102857,0.00853997,0.00696476,0.0056894,0.00531549,0.00449187,0.00388756,0.00352675,0.00296692,0.0026437,0.00224696,0.00209216,0.00186705,0.00159151,0.00148455,0.00131136,0.00116195,0.00107906,0.000934742,0.000870468,0.000758652,0.000724337,0.000695279,0.000602009,0.000553896,0.000503475,0.00048056,0.000424731,0.000384469,0.000359328
1600,327.115,170.892,106.805,44.5411,19.3634,6.41197,1.60376,0.701292,0.271443,0.148654,0.0925955,0.0611738,0.0373256,0.0267981,0.0211691,0.016592,0.0125512,0.0101372,0.00850348,0.00692866,0.00564048,0.00534272,0.00449995,0.00387575,0.00346138,0.00290029,0.00260318,0.0022468,0.00207066,0.00185547,0.0015661,0.00148408,0.00128924,0.00115565,0.00107641,0.000929801,0.000874857,0.000763292,0.000723509,0.000687669,0.000605144,0.000549709,0.000500942,0.0004773,0.000427067,0.000385521,0.000359672
