timestep,alt_100km,alt_110km,alt_120km,alt_130km,alt_140km,alt_150km,alt_160km,alt_170km,alt_180km,alt_190km,alt_200km,alt_210km,alt_220km,alt_230km,alt_240km,alt_250km,alt_260km,alt_270km,alt_280km,alt_290km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.000705643,0.000102656,2.112e-05,7.29449e-06,3.48334e-06,1.98681e-06,1.25198e-06,8.48553e-07,6.03734e-07,4.44768e-07,3.38304e-07,2.61618e-07,2.05895e-07,1.6515e-07,1.33794e-07,1.09799e-07,9.07354e-08,7.54717e-08,6.32432e-08,5.31496e-08,4.50643e-08
200,0.000708134,0.000103311,2.12219e-05,7.33034e-06,3.50225e-06,1.99655e-06,1.25842e-06,8.52485e-07,6.06441e-07,4.47011e-07,3.39792e-07,2.62877e-07,2.07231e-07,1.66111e-07,1.34577e-07,1.10277e-07,9.11906e-08,7.58169e-08,6.35364e-08,5.35153e-08,4.53474e-08
300,0.000709545,0.000103546,2.12558e-05,7.33855e-06,3.50809e-06,1.99885e-06,1.26155e-06,8.53262e-07,6.06908e-07,4.48077e-07,3.40143e-07,2.63268e-07,2.0774e-07,1.66399e-07,1.3478e-07,1.10388e-07,9.13319e-08,7.59501e-08,6.36747e-08,5.36377e-08,4.54647e-08
400,0.000711014,0.000103628,2.12778e-05,7.34434e-06,3.51346e-06,2.00095e-06,1.26244e-06,8.53689e-07,6.07218e-07,4.48429e-07,3.40261e-07,2.6355e-07,2.07948e-07,1.66589e-07,1.34887e-07,1.10523e-07,9.1404e-08,7.60233e-08,6.3688e-08,5.37139e-08,4.54936e-08
500,0.000711326,0.000103678,2.12926e-05,7.3514e-06,3.51652e-06,2.00194e-06,1.26357e-06,8.54493e-07,6.07686e-07,4.48456e-07,3.40464e-07,2.63638e-07,2.08168e-07,1.66712e-07,1.34948e-07,1.10617e-07,9.14471e-08,7.60526e-08,6.37172e-08,5.37544e-08,4.55351e-08
600,0.000711813,0.000103727,2.13106e-05,7.35368e-06,3.51721e-06,2.00268e-06,1.26394e-06,8.55229e-07,6.08147e-07,4.48697e-07,3.40527e-07,2.63631e-07,2.08234e-07,1.66773e-07,1.35049e-07,1.10629e-07,9.14701e-08,7.60718e-08,6.37649e-08,5.37666e-08,4.55567e-08
700,0.000712456,0.000103776,2.13117e-05,7.35421e-06,3.51904e-06,2.00275e-06,1.26433e-06,8.55768e-07,6.08397e-07,4.48667e-07,3.40547e-07,2.63728e-07,2.08283e-07,1.66808e-07,1.35108e-07,1.10633e-07,9.15144e-08,7.61059e-08,6.37648e-08,5.3787e-08,4.55512e-08
800,0.000713352,0.000103812,2.13099e-05,7.35506e-06,3.52048e-06,2.00345e-06,1.26447e-06,8.55983e-07,6.08562e-07,4.48861e-07,3.40595e-07,2.63798e-07,2.08305e-07,1.66819e-07,1.35094e-07,1.10616e-07,9.15346e-08,7.61258e-08,6.37649e-08,5.37896e-08,4.55577e-08
900,0.000713888,0.000103852,2.13078e-05,7.35567e-06,3.52183e-06,2.0034e-06,1.26443e-06,8.56168e-07,6.08574e-07,4.48938e-07,3.40622e-07,2.63873e-07,2.08364e-07,1.66856e-07,1.35141e-07,1.10641e-07,9.15443e-08,7.61576e-08,6.37789e-08,5.37997e-08,4.55757e-08
1000,0.000714471,0.000103866,2.13027e-05,7.35715e-06,3.52227e-06,2.00354e-06,1.26459e-06,8.55958e-07,6.08549e-07,4.48924e-07,3.40655e-07,2.63896e-07,2.08383e-07,1.66907e-07,1.35149e-07,1.10673e-07,9.15519e-08,7.61627e-08,6.3776e-08,5.37978e-08,4.55815e-08
1100,0.000714956,0.00010388,2.13036e-05,7.35771e-06,3.523e-06,2.00405e-06,1.2644e-06,8.56206e-07,6.08609e-07,4.49009e-07,3.40703e-07,2.63961e-07,2.08419e-07,1.66928e-07,1.35184e-07,1.10698e-07,9.15992e-08,7.6171e-08,6.37935e-08,5.37885e-08,4.55731e-08
1200,0.000715303,0.000103925,2.13028e-05,7.35805e-06,3.52367e-06,2.00395e-06,1.26454e-06,8.56253e-07,6.08742e-07,4.49006e-07,3.40694e-07,2.63965e-07,2.08424e-07,1.66957e-07,1.35197e-07,1.10719e-07,9.15983e-08,7.61677e-08,6.38091e-08,5.37957e-08,4.55684e-08
1300,0.000715791,0.000103937,2.13039e-05,7.35784e-06,3.52408e-06,2.00424e-06,1.26455e-06,8.56428e-07,6.08848e-07,4.49012e-07,3.40762e-07,2.63994e-07,2.08442e-07,1.66963e-07,1.35236e-07,1.10722e-07,9.16005e-08,7.61761e-08,6.3807e-08,5.37953e-08,4.5573e-08
1400,0.000716201,0.000103955,2.1305e-05,7.35789e-06,3.5247e-06,2.00466e-06,1.26462e-06,8.56564e-07,6.08806e-07,4.4906e-07,3.40741e-07,2.6401e-07,2.08469e-07,1.66979e-07,1.35218e-07,1.10733e-07,9.15887e-08,7.61857e-08,6.38119e-08,5.37975e-08,4.55775e-08
1500,0.000716468,0.000103986,2.13047e-05,7.35775e-06,3.52438e-06,2.00471e-06,1.26478e-06,8.56524e-07,6.08853e-07,4.49037e-07,3.40808e-07,2.64048e-07,2.08455e-07,1.66986e-07,1.35223e-07,1.10742e-07,9.15903e-08,7.61905e-08,6.38155e-08,5.38035e-08,4.55765e-08
1600,0.000716766,0.000104008,2.13055e-05,7.35781e-06,3.52433e-06,2.00493e-06,1.26487e-06,8.56498e-07,6.08829e-07,4.49064e-07,3.40884e-07,2.64122e-07,2.08444e-07,1.66995e-07,1.35223e-07,1.10752e-07,9.1583e-08,7.61994e-08,6.38311e-08,5.38038e-08,4.55798e-08
1700,0.000717099,0.000104016,2.13081e-05,7.35816e-06,3.52464e-06,2.00499e-06,1.26483e-06,8.56466e-07,6.08892e-07,4.49109e-07,3.40851e-07,2.64097e-07,2.08469e-07,1.66988e-07,1.35209e-07,1.10742e-07,9.15892e-08,7.6203e-08,6.38263e-08,5.38082e-08,4.55791e-08
1800,0.000717288,0.000104019,2.13102e-05,7.35829e-06,3.52443e-06,2.00485e-06,1.26506e-06,8.56438e-07,6.08961e-07,4.4912e-07,3.40806e-07,2.64156e-07,2.08478e-07,1.6697e-07,1.35214e-07,1.10752e-07,9.15968e-08,7.62046e-08,6.38343e-08,5.38114e-08,4.55805e-08
