timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,270.271,132.399,60.1135,25.3732,10.5542,4.09489,1.58112,0.599166,0.246468,0.114335,0.0591604,0.0353084,0.0215694,0.0185794,0.0110978,0.00889681,0.00622792,0.00494712,0.00362527,0.00338653,0.00314108,0.00256192,0.00175643,0.00158233,0.00151102,0.00117801,0.00108323,0.000951257,0.00085492,0.00075674,0.000688321,0.000635919,0.000513611,0.00045017,0.000484203,0.000423926,0.000346458,0.00031546,0.000288022,0.000255401,0.000231105,0.000209737,0.000202909,0.000176268,0.000181797,0.000150865,0.000134043
200,285.573,128.429,55.6318,25.0289,10.0437,4.10296,1.45405,0.572201,0.249171,0.109157,0.0578518,0.0345625,0.0218586,0.0163526,0.0104662,0.00834784,0.00603063,0.00484882,0.00368235,0.00339512,0.00301487,0.00252122,0.00176422,0.00156206,0.00144242,0.00116373,0.00105717,0.000951244,0.000740188,0.000688989,0.00067193,0.000596274,0.000461064,0.000429499,0.000436695,0.000366389,0.000326015,0.000294945,0.000272887,0.000274083,0.000247819,0.000222237,0.000199096,0.000182672,0.000170083,0.000149475,0.000125934
300,265.244,128.735,56.4393,24.2627,9.88099,4.034,1.51746,0.598947,0.240428,0.112257,0.0589747,0.0356841,0.0225052,0.0162955,0.0110559,0.00812097,0.00615226,0.00505551,0.00390458,0.00335485,0.0029482,0.00250596,0.001911,0.00164795,0.00144453,0.00122552,0.00109744,0.000964765,0.000783904,0.000737302,0.000682559,0.000616187,0.00050249,0.000467596,0.000434904,0.000398253,0.00034579,0.000308207,0.000298282,0.000269843,0.000242805,0.000217473,0.000203287,0.000193218,0.000171524,0.000159659,0.000135577
400,260.071,128.424,58.141,23.7843,10.1802,4.36504,1.62322,0.609501,0.247797,0.114947,0.0622873,0.0361573,0.0233205,0.0165246,0.0108846,0.0083248,0.00634481,0.00513594,0.00401204,0.0034504,0.00295428,0.00241694,0.00198104,0.00170526,0.00153741,0.00128454,0.00114394,0.000967969,0.000808223,0.000746741,0.000690548,0.000604667,0.000512872,0.000482364,0.000435923,0.000400894,0.000348974,0.000315244,0.000304985,0.000272293,0.000242471,0.000221094,0.000203892,0.000195185,0.000168327,0.000158579,0.00014366
500,268.938,126.529,56.9098,24.0814,10.137,4.45154,1.60944,0.606147,0.244899,0.11247,0.0630658,0.0365866,0.02371,0.0163892,0.0111757,0.00841844,0.00624697,0.00525334,0.00401906,0.0034144,0.00288596,0.00233254,0.00197311,0.001695,0.0015734,0.00128763,0.00115099,0.000963987,0.00080901,0.000742998,0.000678281,0.000608722,0.000519389,0.000483184,0.000424226,0.000397553,0.00034569,0.000307043,0.000301057,0.000269752,0.00024016,0.000216868,0.000200116,0.000192611,0.000166431,0.000155575,0.000139445
600,270.121,129.378,57.1244,23.8339,10.3738,4.40425,1.66104,0.607332,0.2435,0.115383,0.064844,0.0364426,0.0239302,0.0163856,0.0112156,0.00863148,0.0064416,0.0054116,0.00404574,0.00334164,0.00280833,0.00229755,0.0019701,0.00171263,0.00155929,0.00129719,0.00113579,0.000946934,0.000814595,0.000741713,0.000680232,0.000608423,0.00052581,0.000483071,0.000411785,0.00040104,0.000346972,0.000305739,0.000300602,0.000268606,0.000241116,0.00021782,0.000197201,0.000190059,0.000167691,0.000154038,0.000139715
700,274.872,130.373,57.6593,24.181,10.5566,4.45401,1.6856,0.627777,0.24448,0.118,0.0653351,0.0361064,0.0237978,0.016469,0.0112489,0.00860847,0.0064415,0.0052878,0.00409778,0.00331862,0.00275268,0.00229246,0.00199383,0.00169211,0.00153057,0.00129745,0.0011274,0.00095269,0.000852324,0.00073591,0.000677179,0.000602289,0.000525356,0.000481494,0.000415876,0.000394584,0.000355918,0.000308582,0.000300231,0.000266173,0.000241185,0.000219208,0.000199727,0.000189119,0.000169785,0.000153557,0.00013899
800,277.961,130.65,57.7411,24.0958,10.5697,4.46242,1.68153,0.62961,0.245296,0.11747,0.065213,0.0364572,0.0236327,0.0160462,0.0113374,0.00853303,0.00647748,0.0052313,0.00408514,0.00337557,0.0027893,0.0023496,0.00199777,0.00169317,0.00151356,0.00129201,0.00113103,0.000971841,0.00085508,0.000762967,0.00068425,0.000607897,0.000532494,0.000494348,0.000422615,0.000395397,0.000356206,0.000312688,0.000299261,0.000264383,0.000241927,0.000219719,0.000199553,0.000189029,0.000171009,0.000155092,0.00014301
900,284.816,131.488,58.8746,24.4402,10.5054,4.489,1.70551,0.627967,0.245177,0.117265,0.0650968,0.0363822,0.0238032,0.0162339,0.0112808,0.00842473,0.0065158,0.00522699,0.0041343,0.00338679,0.00282843,0.00236635,0.00198539,0.00172442,0.00152089,0.00130593,0.00115077,0.000963467,0.000857229,0.000779323,0.000681467,0.000607491,0.000538899,0.00049466,0.000427839,0.000392335,0.00035899,0.000315605,0.000299952,0.000264912,0.000241794,0.000218533,0.000199752,0.000189691,0.00016923,0.000155531,0.000145892
1000,288.499,134.353,59.5609,25.1664,10.6254,4.52556,1.70582,0.634424,0.245069,0.118123,0.0656803,0.0362889,0.0238528,0.0160759,0.0113774,0.0085652,0.00656848,0.00524212,0.00414756,0.00342132,0.00284682,0.00239395,0.00201468,0.00171519,0.00153311,0.00133002,0.00115113,0.000980147,0.000870352,0.000777767,0.000689188,0.000614882,0.0005417,0.000497717,0.000435412,0.000395737,0.000366873,0.000320704,0.000303744,0.00026498,0.000241901,0.000217999,0.000203316,0.000189165,0.000169877,0.000155554,0.000145685
1100,290.497,135.958,60.3782,25.0591,10.8558,4.5099,1.72631,0.632184,0.244449,0.117553,0.0659511,0.0361328,0.0236295,0.015967,0.0114024,0.00861377,0.00658042,0.00518098,0.00414159,0.00346621,0.00284605,0.00240372,0.00200938,0.00172921,0.00152716,0.00132594,0.0011609,0.000992394,0.000871657,0.000773984,0.000681719,0.000612957,0.000542798,0.000492923,0.000436583,0.000396211,0.000365416,0.000320093,0.000298758,0.000267345,0.000242266,0.000219054,0.000201841,0.000187607,0.000168507,0.000154471,0.000146121
1200,293.192,136.074,60.4521,25.1528,10.9171,4.52131,1.70771,0.635989,0.247111,0.118092,0.0659964,0.0357542,0.0235758,0.0160635,0.0114395,0.00862384,0.00658599,0.00515307,0.00418339,0.00342546,0.00287196,0.00241177,0.00201324,0.00174795,0.00151805,0.00131392,0.00114664,0.000987778,0.000861011,0.000774968,0.000673175,0.00060486,0.000537704,0.000491233,0.000432639,0.00039394,0.000362648,0.000319466,0.000297221,0.000267596,0.000242976,0.000219183,0.000200881,0.000185184,0.000169282,0.000155685,0.000147141
1300,291.638,137.319,61.0646,25.493,10.8922,4.52184,1.70305,0.630031,0.247891,0.119207,0.0659283,0.0364605,0.0238462,0.0160779,0.0115333,0.00869844,0.00661689,0.00514383,0.00425975,0.0034411,0.00283572,0.00238956,0.00199385,0.00174709,0.00151473,0.00131386,0.00115673,0.000987581,0.000856896,0.000768639,0.000674148,0.00060208,0.000542575,0.000495109,0.000431773,0.000397326,0.000364366,0.000317611,0.00029643,0.000268501,0.000242201,0.000217792,0.000201897,0.000183093,0.000168302,0.000155518,0.000146067
1400,292.564,136.93,61.3457,25.5584,10.994,4.49867,1.70242,0.627695,0.249518,0.11846,0.0652842,0.0364428,0.023677,0.016173,0.0116056,0.00872369,0.00658264,0.00513345,0.00421224,0.00343089,0.00282635,0.00238722,0.00199093,0.00174902,0.00150146,0.00133043,0.00116854,0.000992478,0.000864889,0.000769161,0.000673894,0.000599856,0.000540695,0.000498041,0.000429961,0.00039771,0.000361796,0.000319509,0.000299966,0.000265125,0.000239785,0.000218166,0.00020195,0.000182874,0.00016766,0.000157203,0.000146116
1500,299.028,138.056,61.5683,25.6244,11.0584,4.48716,1.69606,0.629636,0.250062,0.118867,0.0644469,0.0367223,0.023618,0.0162704,0.0117512,0.00873386,0.00649736,0.00514803,0.0041502,0.00342793,0.00284162,0.00237827,0.0020035,0.00174621,0.0014948,0.0013265,0.00116333,0.000988981,0.000866981,0.000773493,0.000675885,0.000598844,0.000540733,0.000499703,0.000428596,0.000397649,0.000359036,0.0003238,0.000298569,0.000262911,0.000237317,0.000216536,0.000201644,0.000180761,0.000167525,0.000156121,0.000146133
1600,299.565,139.404,62.1484,26.0363,11.0802,4.47876,1.69891,0.626313,0.250906,0.118783,0.0643727,0.0365234,0.0235512,0.0161314,0.0116804,0.00872906,0.00646331,0.00510785,0.00417201,0.00340322,0.00284049,0.00239074,0.0019975,0.00174899,0.00149184,0.00132744,0.0011662,0.000987766,0.00087258,0.000773433,0.000678696,0.000604061,0.000545724,0.000502149,0.000426534,0.000402358,0.000363425,0.000327266,0.000299828,0.00026139,0.000237346,0.000216074,0.000203036,0.000181981,0.000168779,0.000156707,0.000147271
1700,303.069,140.294,62.6477,26.1679,11.1431,4.44226,1.71226,0.63113,0.249988,0.118921,0.0647079,0.0368406,0.0236509,0.0160585,0.0117798,0.00875762,0.0065122,0.00517337,0.0042135,0.00340569,0.00282742,0.00238831,0.00200176,0.00175013,0.00149254,0.00133193,0.00117206,0.000996048,0.000873152,0.000772974,0.000675549,0.000607211,0.000541718,0.000504269,0.000427479,0.000400551,0.000362931,0.000329217,0.000299172,0.000262027,0.000237017,0.000216016,0.000202514,0.000182686,0.000169295,0.00015661,0.000147476
