timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,48.2759,23.7025,9.81387,3.24467,1.63178,0.430816,0.215078,0.108491,0.0401952,0.0180717,0.00444874,0.00336045,0.00266878,0.00290234,0.00125935,0.000886189,0.000360796,0.000740018,0.000374861,0.000340246,0.00027737,0.000333462,0.000196476,0.000229778,0.000179333,8.25464e-05,7.21414e-05,8.54846e-05,8.63916e-05,7.46532e-05,4.18912e-05,6.35002e-05,5.44816e-05,2.94932e-05,6.62431e-05,4.69149e-05,3.22041e-05,3.8273e-05,3.27697e-05,1.53786e-05,1.30891e-05,1.19875e-05,2.54349e-05,2.44225e-05,1.82156e-05,1.6971e-05,1.14795e-05
200,59.0711,22.4338,9.44476,3.72085,1.70701,0.691497,0.242914,0.103898,0.0402145,0.0188804,0.00659329,0.00496298,0.00272195,0.00221596,0.00117359,0.000832121,0.000614844,0.000802259,0.000505463,0.000424502,0.000324202,0.000376225,0.00021406,0.000203721,0.000181081,8.49484e-05,7.78228e-05,9.82378e-05,6.66155e-05,8.30947e-05,6.35529e-05,6.10838e-05,4.75739e-05,3.36825e-05,6.5987e-05,4.54415e-05,3.02562e-05,3.2734e-05,3.12825e-05,2.26202e-05,2.13896e-05,1.77386e-05,2.24767e-05,2.38424e-05,1.7657e-05,1.79676e-05,1.02216e-05
300,48.346,26.457,11.1947,3.20788,1.5274,0.61165,0.234899,0.107567,0.036381,0.019326,0.00901484,0.0048753,0.00295925,0.00205913,0.00143686,0.00087138,0.000785586,0.000800946,0.00047787,0.00036689,0.000327598,0.000362238,0.000237452,0.000217361,0.000176038,0.000119065,9.49277e-05,0.00010556,8.27783e-05,9.22646e-05,7.29848e-05,6.40258e-05,5.32365e-05,4.39126e-05,6.32466e-05,4.59134e-05,3.88732e-05,3.47296e-05,4.3246e-05,2.55211e-05,2.43648e-05,2.17988e-05,2.62139e-05,2.60559e-05,1.64546e-05,1.93748e-05,1.27646e-05
400,51.4439,26.8933,11.5562,3.01717,1.68307,0.588518,0.26717,0.109084,0.0362628,0.0199377,0.00954415,0.00472495,0.00285307,0.00214335,0.00130761,0.000920105,0.000721564,0.000819882,0.000481996,0.000380113,0.000304499,0.000320956,0.000224892,0.000243398,0.000175331,0.000131352,0.000114925,0.000107861,9.1707e-05,7.86914e-05,7.1353e-05,6.05239e-05,5.77844e-05,4.80661e-05,5.75815e-05,4.64678e-05,3.74603e-05,2.99557e-05,4.0312e-05,2.47679e-05,2.31625e-05,2.23166e-05,2.46605e-05,2.60472e-05,1.64846e-05,1.8186e-05,1.55915e-05
500,61.9229,25.9259,11.6511,3.25425,1.60098,0.605752,0.254498,0.104938,0.0350247,0.0191107,0.00947508,0.00480829,0.00315116,0.00193883,0.00137482,0.000879587,0.00069076,0.000791247,0.000471932,0.000380617,0.000333294,0.000308408,0.000240022,0.000232703,0.000173611,0.000128883,0.000113387,0.000108384,9.73328e-05,8.03137e-05,6.63267e-05,6.28708e-05,5.78009e-05,4.87589e-05,5.49052e-05,4.46059e-05,3.60113e-05,3.0684e-05,3.98817e-05,2.76757e-05,2.57394e-05,2.26837e-05,2.38395e-05,2.62351e-05,1.55889e-05,1.61201e-05,1.36635e-05
600,64.1996,28.3036,11.0118,3.24904,1.66598,0.63451,0.261729,0.104336,0.0352023,0.0190243,0.0104117,0.00477612,0.00328287,0.00199501,0.00126949,0.00089877,0.000734613,0.00074132,0.000483481,0.000388594,0.000311614,0.000277778,0.000238924,0.000227457,0.000179219,0.000132788,0.000120271,0.000106361,0.000106147,8.18071e-05,6.66189e-05,5.93109e-05,6.19884e-05,4.9142e-05,5.20126e-05,4.45748e-05,3.67447e-05,3.19707e-05,3.7198e-05,2.83427e-05,2.60379e-05,2.31952e-05,2.26826e-05,2.5159e-05,1.67321e-05,1.57745e-05,1.29816e-05
700,65.0694,28.9176,11.3603,3.27866,1.67966,0.656083,0.271352,0.108916,0.0345776,0.0194072,0.0108456,0.00479312,0.00332827,0.00220772,0.00134009,0.000888799,0.000711927,0.000721067,0.000483865,0.00039541,0.000309162,0.000263647,0.000243844,0.000209701,0.000183444,0.000129657,0.000113875,0.000105715,0.000106298,8.09946e-05,6.92489e-05,5.85723e-05,5.98504e-05,4.86669e-05,5.33318e-05,4.28057e-05,3.81027e-05,3.30799e-05,3.85676e-05,2.87814e-05,2.59818e-05,2.23905e-05,2.1956e-05,2.37427e-05,1.67934e-05,1.55468e-05,1.26944e-05
800,68.2218,28.9003,11.3855,3.23322,1.59766,0.652661,0.255181,0.106494,0.0354423,0.0191752,0.0104693,0.00478422,0.0033809,0.00203004,0.00139737,0.000890704,0.000713283,0.00069259,0.000494174,0.000389772,0.000312463,0.00027039,0.000231217,0.000210852,0.000177641,0.000127192,0.000105579,0.000110163,0.000102111,8.03628e-05,6.7145e-05,5.75254e-05,5.97338e-05,4.72546e-05,5.16642e-05,4.3406e-05,3.71517e-05,3.24999e-05,3.87975e-05,2.93915e-05,2.6751e-05,2.33245e-05,2.15372e-05,2.43077e-05,1.69014e-05,1.58827e-05,1.3008e-05
900,72.3957,28.6966,11.7889,3.30512,1.5805,0.64681,0.258663,0.104036,0.0353573,0.0187211,0.0097977,0.0048343,0.00343067,0.00202502,0.00137037,0.000910489,0.000717713,0.000651589,0.000494599,0.000400433,0.000325823,0.000268023,0.000221037,0.000217064,0.000177657,0.000131872,0.0001151,0.000108266,0.000104991,8.09968e-05,6.89946e-05,5.83763e-05,6.37715e-05,5.06093e-05,4.89111e-05,4.13033e-05,3.83913e-05,3.44717e-05,3.73241e-05,2.87652e-05,2.54615e-05,2.24123e-05,2.16807e-05,2.4688e-05,1.60896e-05,1.54027e-05,1.35837e-05
