timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,33.6349,15.6803,6.63959,2.84526,0.88189,0.428503,0.139709,0.0537823,0.0295466,0.0116744,0.00767317,0.0052849,0.0037196,0.00297005,0.00282701,0.00169212,0.00117483,0.000934062,0.000780697,0.000800822,0.000717283,0.000479729,0.000450272,0.000415325,0.000381594,0.000317039,0.000308882,0.000285634,0.000270264,0.000182573,0.000204492,0.000199276,0.000160969,0.000134162,0.000130225,0.000122594,0.000105781,9.93183e-05,8.44843e-05,9.11083e-05,7.95647e-05,7.32169e-05,5.8024e-05,5.68916e-05,4.80147e-05,4.64753e-05,4.45046e-05
200,35.1441,17.5536,5.61788,2.44923,0.970122,0.342828,0.148643,0.061756,0.0283873,0.0124716,0.00839484,0.00569722,0.00428829,0.00335438,0.00281221,0.00191455,0.00149895,0.00109997,0.000897259,0.00084894,0.000773682,0.000566545,0.000544848,0.000436676,0.000402495,0.000349134,0.000302251,0.00028505,0.000240222,0.000186862,0.000207207,0.000196363,0.0001486,0.000141103,0.000128833,0.000113857,0.000107193,9.92038e-05,7.99227e-05,7.8862e-05,7.09787e-05,6.24211e-05,6.23444e-05,5.84659e-05,5.29581e-05,4.76713e-05,4.38751e-05
300,41.4543,19.3469,6.68954,2.90752,1.09611,0.427547,0.163241,0.0836996,0.031672,0.0148331,0.00878602,0.00632627,0.00442097,0.00336554,0.0027343,0.00204334,0.0015387,0.0011818,0.000974806,0.000867358,0.000773618,0.000601532,0.000509614,0.000451342,0.00040441,0.000358298,0.000319942,0.000280835,0.000246022,0.00019728,0.000203448,0.000197167,0.000159991,0.000143409,0.000125817,0.00012086,0.000109167,9.36412e-05,8.75797e-05,7.81535e-05,7.175e-05,6.21882e-05,6.16603e-05,5.99345e-05,5.63225e-05,4.84754e-05,4.67598e-05
400,42.4601,18.8336,8.44026,3.21387,1.13627,0.433039,0.186341,0.0767332,0.0333653,0.0157677,0.00955251,0.00667365,0.00435765,0.00341511,0.00260838,0.00201053,0.00157187,0.00111779,0.000999167,0.00086506,0.000741231,0.000609907,0.000570887,0.00046922,0.000422846,0.000384209,0.000326596,0.000281061,0.000240497,0.000207301,0.00021286,0.000193748,0.000155635,0.000143698,0.000126681,0.00011997,0.000110041,9.62934e-05,9.07586e-05,8.68609e-05,7.87323e-05,7.0142e-05,6.28977e-05,6.23866e-05,5.44357e-05,4.84841e-05,4.77393e-05
500,44.6622,20.7027,8.59139,3.6039,1.27101,0.483658,0.179115,0.0778818,0.035406,0.0166586,0.0103003,0.00669907,0.00461464,0.00358432,0.00268379,0.00197663,0.0015192,0.00119671,0.000994877,0.000880635,0.000726863,0.000592368,0.0005402,0.000452558,0.000420446,0.000366797,0.000319362,0.000280799,0.000248223,0.000208536,0.000211615,0.000190705,0.00015704,0.000143364,0.000121438,0.000117168,0.000105772,9.16276e-05,8.44599e-05,8.51414e-05,7.71963e-05,6.87242e-05,6.27225e-05,5.90342e-05,5.41873e-05,4.74759e-05,4.65898e-05
600,45.1659,22.2905,8.81866,3.88467,1.35485,0.494559,0.187441,0.0755415,0.034837,0.0168413,0.0108138,0.00682424,0.00470615,0.00350951,0.00256912,0.00202352,0.00151879,0.00120278,0.000982565,0.000884541,0.000711932,0.000583334,0.000530876,0.000452469,0.000395979,0.000354502,0.00029835,0.000275912,0.000235768,0.000201179,0.000205257,0.000182025,0.000149515,0.000139975,0.000118293,0.000115557,0.000106347,9.11509e-05,8.56499e-05,8.48771e-05,7.69853e-05,6.9964e-05,6.16116e-05,5.78714e-05,5.56361e-05,4.67035e-05,4.64966e-05
700,47.4106,22.8106,9.54359,3.96025,1.46066,0.522769,0.191938,0.0802912,0.0343413,0.0176401,0.0109486,0.00680616,0.00460436,0.00348459,0.00250266,0.00198963,0.00147176,0.00118976,0.000980613,0.000829988,0.000673232,0.000571381,0.000525754,0.00043545,0.000390561,0.000354007,0.000304453,0.000271221,0.000244457,0.000205866,0.000202265,0.000177751,0.000146523,0.000139775,0.000122222,0.000113825,0.000108928,9.13124e-05,8.63557e-05,8.40316e-05,7.6149e-05,7.03468e-05,6.24098e-05,5.92897e-05,5.54818e-05,4.75415e-05,4.556e-05
800,49.0448,22.1862,9.95928,4.0216,1.55576,0.493185,0.201926,0.0783448,0.0337039,0.0178795,0.0103707,0.00672802,0.00448226,0.00338877,0.00240095,0.00196661,0.0014509,0.00117294,0.000978707,0.000831711,0.000681073,0.000600483,0.000538619,0.000430835,0.000394007,0.000350609,0.000303107,0.000278033,0.000241821,0.000214808,0.000201341,0.000180779,0.000150054,0.000146806,0.000125252,0.000111373,0.00010954,9.47711e-05,8.58195e-05,8.45935e-05,7.77423e-05,7.07001e-05,6.05505e-05,5.81499e-05,5.48595e-05,4.84369e-05,4.69574e-05
900,50.8941,23.2202,10.2433,4.03293,1.59232,0.541052,0.208853,0.0777949,0.0336322,0.0179546,0.0107115,0.00635784,0.00446302,0.00346766,0.00235634,0.0019098,0.0014417,0.00119499,0.00101424,0.000837222,0.000685692,0.000597919,0.000539771,0.000440235,0.000400244,0.000360095,0.000311192,0.000280068,0.000241841,0.000222358,0.00019737,0.000180248,0.000149023,0.000143101,0.000127335,0.000112545,0.00010882,9.54008e-05,8.57905e-05,8.42367e-05,7.72714e-05,6.9342e-05,6.02988e-05,5.75074e-05,5.41771e-05,4.79774e-05,4.71678e-05
