timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,350.82,152.046,61.6065,32.2699,10.9134,4.47427,2.15598,0.623982,0.249166,0.13523,0.0682559,0.0401355,0.031422,0.0158041,0.0122087,0.00964859,0.00719108,0.00448413,0.00395606,0.00326965,0.00300232,0.00235278,0.002287,0.00192046,0.00146398,0.00128328,0.00108675,0.00106658,0.00112119,0.000777788,0.000668928,0.000595921,0.00058825,0.000503197,0.000421416,0.000382471,0.000371033,0.000308599,0.000296776,0.000293405,0.000234377,0.00022918,0.000220304,0.000209586,0.000214606,0.000145493,0.000147324
200,345.974,152.221,64.2851,28.288,11.2551,4.57789,1.99444,0.66836,0.268232,0.129495,0.0696967,0.0435206,0.0268571,0.0154221,0.0119666,0.00916741,0.00673976,0.00505327,0.00431732,0.00351396,0.00284534,0.00235347,0.00222694,0.00188219,0.00141387,0.00144198,0.00124643,0.00111877,0.000960086,0.000810191,0.000679296,0.000695035,0.00061,0.000516613,0.000471661,0.000422903,0.000358613,0.00036332,0.000311031,0.00029822,0.000257127,0.000248113,0.00022108,0.000212979,0.000184566,0.00016532,0.000156001
300,357.126,166.095,68.3983,29.3317,11.5539,4.53854,1.8543,0.693808,0.266784,0.137088,0.0704652,0.0423633,0.0256524,0.0155763,0.0126421,0.00918827,0.00731964,0.00563112,0.0043416,0.00368718,0.00285739,0.00243694,0.0022947,0.00200384,0.00150656,0.00148171,0.00120476,0.00108556,0.000974773,0.000811805,0.0007138,0.000670603,0.000596403,0.000521948,0.000464644,0.00042857,0.000376654,0.000362222,0.000304468,0.000299695,0.000249435,0.000251865,0.000224676,0.000198088,0.000190075,0.00016043,0.000150703
400,375.874,175.827,67.555,28.9035,12.2287,4.73618,1.91712,0.706917,0.273772,0.133313,0.0693278,0.0455089,0.02648,0.016335,0.0122838,0.00938187,0.00725471,0.00581287,0.00439126,0.00372002,0.00302411,0.00243316,0.00232615,0.00192195,0.00158103,0.00141227,0.00120116,0.00108186,0.000977697,0.000847388,0.000747933,0.000655112,0.00061868,0.000548116,0.000466078,0.000437655,0.000387438,0.000363711,0.000305456,0.000304968,0.000252864,0.000243512,0.000226373,0.000197708,0.000192982,0.00016725,0.000149048
500,380.447,181.526,73.8117,29.4995,11.9929,4.84533,1.91508,0.707199,0.269237,0.134891,0.069225,0.0443345,0.0262953,0.0159067,0.0123986,0.00927481,0.00719755,0.0056941,0.00456061,0.0036936,0.00307528,0.0024742,0.00224764,0.00193077,0.0015417,0.00139869,0.00120776,0.00107157,0.000979442,0.000829334,0.000765443,0.000664715,0.000609811,0.000508253,0.000475591,0.00041079,0.000385908,0.000358783,0.000316044,0.000301269,0.000259904,0.00024685,0.000218611,0.000204929,0.000193353,0.000161109,0.00014912
600,375.746,181.798,73.7074,30.1483,11.9424,4.86975,1.88912,0.717067,0.267481,0.13633,0.0694542,0.0439015,0.0257439,0.016136,0.0124725,0.00949562,0.00709306,0.00554821,0.00450984,0.00369522,0.00311286,0.00250666,0.00223366,0.00191973,0.00155021,0.00136759,0.0011815,0.00104795,0.000965978,0.000816411,0.00074713,0.000650828,0.00060381,0.00050972,0.000470945,0.00041809,0.000381489,0.000352277,0.000310863,0.000295752,0.00025238,0.000246822,0.000221244,0.000206605,0.000187929,0.000161853,0.000146582
700,374.092,178.29,75.5416,30.1323,12.1417,4.83266,1.9337,0.716216,0.269824,0.132865,0.0689156,0.0423886,0.0248832,0.0166178,0.0126001,0.0095856,0.00701771,0.00570891,0.00438545,0.00370758,0.00306398,0.00250523,0.00224502,0.00191201,0.00153201,0.00138137,0.00119137,0.00107361,0.000977688,0.000818897,0.000745341,0.000663879,0.000620889,0.000514363,0.000477428,0.000411476,0.000373631,0.000348069,0.000317468,0.000291669,0.000253622,0.000246137,0.000215337,0.000208009,0.000195239,0.000166239,0.000152313
800,381.613,175.786,76.1828,30.7728,12.3542,5.0003,1.91331,0.718265,0.269599,0.131991,0.0694812,0.0422905,0.0249796,0.01709,0.0126244,0.0096478,0.00685516,0.00564695,0.00440531,0.00361599,0.00306692,0.00250991,0.00222164,0.00191881,0.00151077,0.00139439,0.00118567,0.00108315,0.000962722,0.000812594,0.000743561,0.000650229,0.000606111,0.000513466,0.000467106,0.000418961,0.000372728,0.000348249,0.00030762,0.000282982,0.000255923,0.000239107,0.000220452,0.000204932,0.000189486,0.000162687,0.000153283
900,386.083,174.227,76.3699,30.7003,12.4052,4.99269,1.89602,0.717071,0.266165,0.130459,0.0687084,0.0419479,0.0253259,0.0172009,0.0127861,0.00953244,0.00701934,0.00565448,0.0044188,0.00362562,0.00311056,0.00252495,0.00223206,0.00192446,0.0015059,0.00139649,0.00120131,0.00108121,0.000975036,0.000822166,0.00074996,0.000657118,0.000612303,0.000523794,0.000478901,0.000426803,0.000383626,0.000355125,0.000315993,0.0002843,0.000265002,0.000243695,0.000221816,0.00020589,0.000190016,0.000166736,0.00015538
