timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,316.047,136.842,57.3908,29.0538,10.0459,4.04003,2.05421,0.579121,0.221834,0.119555,0.0622277,0.0364861,0.027451,0.0138738,0.0111676,0.00884606,0.00578319,0.00366877,0.00328403,0.00270266,0.00239919,0.00205309,0.0018864,0.0016947,0.00115855,0.00103638,0.000904978,0.000825091,0.000888469,0.000651133,0.000538439,0.000517676,0.000463716,0.000346306,0.000337401,0.000291344,0.000261775,0.000212369,0.000248269,0.000200574,0.000177392,0.000182307,0.000170082,0.000159528,0.000173316,0.000106088,0.000104504
200,317.877,134.916,59.7737,25.8905,10.3624,4.17495,1.86001,0.618483,0.249086,0.113159,0.0630628,0.0385685,0.0230029,0.0130949,0.0104028,0.00772638,0.00542814,0.00388862,0.00330307,0.00290416,0.00220228,0.00187416,0.00179284,0.00154426,0.00108218,0.0011078,0.000987149,0.000843321,0.000726339,0.000666807,0.000517996,0.000522081,0.000440924,0.000357361,0.000356268,0.000305715,0.000247842,0.000262306,0.000237516,0.00021311,0.000185571,0.000180921,0.000158785,0.000152542,0.000138774,0.00012032,0.000110909
300,326.653,149.238,62.7446,26.8268,10.7115,4.20017,1.73607,0.634388,0.240374,0.118491,0.0618168,0.0369425,0.0214537,0.0131819,0.0106327,0.00788718,0.00572363,0.00441776,0.00330101,0.00296411,0.00219704,0.00192597,0.00180753,0.001584,0.00116184,0.00114841,0.000947627,0.000836231,0.00074278,0.000631162,0.000536451,0.000507945,0.000444663,0.000377933,0.000345721,0.000313674,0.000270045,0.00025827,0.000226948,0.000223088,0.000179595,0.000186068,0.000166172,0.000142968,0.000143358,0.000117975,0.000108594
400,344.464,157.263,61.2141,26.0718,11.0061,4.31606,1.79315,0.642424,0.242843,0.116773,0.0603769,0.0387083,0.0223337,0.0137658,0.0103448,0.00785063,0.00574475,0.00471823,0.00348306,0.00299832,0.00235595,0.00192598,0.00185886,0.00152067,0.00123524,0.00109896,0.00095241,0.000841744,0.00075229,0.000671598,0.000557748,0.000502025,0.000459077,0.000400918,0.000346213,0.000333874,0.000277147,0.000267892,0.00022747,0.00023283,0.000187902,0.000184818,0.000171167,0.000145535,0.000139786,0.000125095,0.000106732
500,347.075,164.35,66.1767,26.0927,10.7653,4.3754,1.76785,0.643998,0.237272,0.116326,0.0603396,0.0377134,0.0222113,0.0133351,0.0102573,0.00761654,0.00582571,0.00459295,0.0036519,0.00301539,0.00241908,0.00196675,0.00179582,0.00148018,0.0012155,0.00107905,0.000951379,0.000836259,0.000754798,0.000658496,0.000575884,0.000501567,0.000454077,0.000371047,0.000355949,0.000311218,0.00028379,0.000264612,0.000230853,0.000226051,0.000191026,0.000185487,0.000164752,0.000150168,0.000140137,0.000120304,0.0001072
600,338.534,164.165,65.5012,26.5995,10.5619,4.36477,1.73777,0.648613,0.234509,0.118763,0.0603137,0.0379816,0.0218096,0.0134739,0.010364,0.00771924,0.00577812,0.00446632,0.00363745,0.00300687,0.00247559,0.0019709,0.0017576,0.00147875,0.00119815,0.00106424,0.000928345,0.000812065,0.000748986,0.000635422,0.000572186,0.000488738,0.00044688,0.000363529,0.00034805,0.000316231,0.000277044,0.000256004,0.000225346,0.000222865,0.000185268,0.000183596,0.000163121,0.000151108,0.000138826,0.000119816,0.00010696
700,337.516,160.827,66.1737,26.4216,10.8254,4.33287,1.76325,0.646128,0.235497,0.114942,0.0601205,0.0367033,0.0211104,0.014051,0.0104081,0.00780477,0.00572448,0.00457332,0.00352463,0.00297723,0.00240396,0.00193827,0.00173017,0.00144396,0.00117968,0.00107204,0.000925696,0.000826861,0.000760538,0.000632642,0.000564673,0.000493192,0.000460801,0.000373755,0.000348277,0.000311576,0.000271585,0.000254276,0.00023146,0.000216875,0.000187319,0.000184408,0.000160884,0.000153056,0.000143154,0.000122964,0.000111168
800,340.996,157.834,66.8107,26.9859,10.9561,4.46754,1.73274,0.648906,0.236122,0.114686,0.0607863,0.0363405,0.0211283,0.0142751,0.0104462,0.00783527,0.0055492,0.00450874,0.00354419,0.0028862,0.00240856,0.00194842,0.00171494,0.00146994,0.00115014,0.00108589,0.000920299,0.000826181,0.000739889,0.000620793,0.000558469,0.000482564,0.000448219,0.000371541,0.000338744,0.000315803,0.000274774,0.000253212,0.000222778,0.000210082,0.000186114,0.000178898,0.00016225,0.000150435,0.000138375,0.000120235,0.000111364
900,342.083,155.639,65.9992,26.7027,11.0089,4.46739,1.71828,0.641926,0.235688,0.113499,0.0598544,0.0361057,0.0212701,0.0143975,0.0105102,0.00773669,0.0056753,0.00449402,0.00353148,0.00290652,0.00245391,0.00194984,0.0017332,0.00145201,0.00114093,0.00108109,0.000941969,0.000830487,0.00074248,0.000627459,0.000561639,0.000489313,0.000449707,0.000377004,0.000348848,0.000322466,0.000280369,0.000260644,0.000228359,0.000211743,0.000194285,0.000180501,0.000164311,0.000149595,0.000139094,0.000122944,0.000112684
