timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,34.7727,15.2039,4.21564,3.21608,0.86747,0.434239,0.101767,0.0448615,0.0273313,0.0156759,0.00602824,0.0036494,0.003971,0.00193028,0.00104115,0.000802536,0.00140789,0.000815361,0.000672026,0.000566989,0.000603126,0.000299694,0.000400593,0.000225753,0.000305435,0.000246902,0.000181776,0.000241484,0.000232723,0.000126654,0.000130489,7.82451e-05,0.000124534,0.000156891,8.40148e-05,9.1127e-05,0.000109259,9.62298e-05,4.85063e-05,9.28309e-05,5.69853e-05,4.68729e-05,5.02221e-05,5.00576e-05,4.12902e-05,3.9405e-05,4.28198e-05
200,28.0967,17.3046,4.51147,2.39755,0.892731,0.402943,0.134424,0.0498764,0.0191459,0.0163362,0.00663391,0.00495204,0.00385413,0.00232718,0.00156382,0.00144103,0.00131162,0.00116465,0.00101425,0.000609798,0.000643052,0.00047931,0.000434097,0.000337925,0.000331686,0.000334176,0.00025928,0.000275452,0.000233747,0.000143384,0.0001613,0.000172954,0.000169075,0.000159252,0.000115394,0.000117188,0.000110771,0.000101014,7.35151e-05,8.51105e-05,7.15558e-05,6.71916e-05,6.22947e-05,6.04363e-05,4.57927e-05,4.50001e-05,4.5092e-05
300,30.4731,16.8562,5.65373,2.50492,0.842388,0.338374,0.118225,0.0594207,0.02641,0.0185972,0.00864846,0.00542086,0.00419868,0.00239444,0.00200942,0.0013011,0.00159601,0.00121336,0.00104059,0.00072307,0.00066035,0.000510962,0.000487176,0.000419835,0.000344716,0.000333302,0.000257136,0.000249328,0.000231992,0.000180643,0.000177349,0.000162658,0.00015174,0.000144015,0.000118922,0.000114895,0.000106609,0.000103952,7.75206e-05,7.66068e-05,6.98406e-05,6.57972e-05,5.85039e-05,5.51202e-05,4.6716e-05,4.24553e-05,4.21087e-05
400,31.41,18.5637,6.34091,2.83163,1.22253,0.42012,0.123976,0.064493,0.0309288,0.0165407,0.00895087,0.00680068,0.00414635,0.00256916,0.00193894,0.00153124,0.00150996,0.00109464,0.000908199,0.000721693,0.00066816,0.000507175,0.000467287,0.000401281,0.000345794,0.000313318,0.000248748,0.000240119,0.000225407,0.00017579,0.000190185,0.000153087,0.000159604,0.000147198,0.000119865,0.000103781,0.000110291,9.58193e-05,7.79859e-05,7.21378e-05,6.49621e-05,5.86938e-05,5.52054e-05,5.21731e-05,5.31963e-05,4.2155e-05,4.23158e-05
500,33.3718,17.1758,7.63504,3.40686,1.22761,0.469931,0.147227,0.0632015,0.0319645,0.0185656,0.00888539,0.00662113,0.00408403,0.00257166,0.00214136,0.00165827,0.00137184,0.00110115,0.000908714,0.00067821,0.000656202,0.00050745,0.000451818,0.000450586,0.000326196,0.000319634,0.000256385,0.000235307,0.000224643,0.000170838,0.000189559,0.000163149,0.000155734,0.000137206,0.000119642,9.95718e-05,0.000102118,9.41704e-05,8.51913e-05,7.52181e-05,6.8878e-05,6.13626e-05,5.38596e-05,5.47616e-05,5.32168e-05,4.08044e-05,4.19205e-05
600,37.2125,17.6332,8.20625,3.54883,1.38043,0.504979,0.151354,0.0684544,0.0329723,0.0175667,0.00914052,0.00591987,0.00393431,0.00266208,0.00210849,0.00177638,0.00131494,0.00108189,0.000872391,0.00068835,0.000637274,0.000535767,0.00047606,0.000440975,0.000352059,0.000303345,0.000253152,0.000235882,0.000216992,0.000180989,0.000174943,0.00016209,0.000156929,0.00014619,0.000122895,0.000101859,0.000104445,9.62728e-05,8.55174e-05,7.28869e-05,6.71116e-05,6.32257e-05,5.81228e-05,5.54973e-05,4.91035e-05,4.20364e-05,3.9622e-05
700,36.5764,17.4624,9.36795,3.71069,1.3163,0.499786,0.17045,0.0700874,0.0343264,0.0179233,0.00879508,0.00568527,0.00377285,0.00256681,0.00219206,0.00178083,0.00129323,0.00113559,0.000860821,0.000730343,0.000660025,0.000566953,0.000514847,0.000468045,0.000352323,0.000309331,0.000265679,0.000246748,0.00021715,0.000186255,0.000180668,0.000170687,0.000160088,0.000140608,0.000129151,9.99002e-05,0.000102046,9.37931e-05,8.60082e-05,7.47939e-05,6.63029e-05,6.17287e-05,5.44534e-05,5.49531e-05,5.20849e-05,4.32744e-05,4.11449e-05
800,40.6169,17.9519,9.37203,3.78697,1.39808,0.532765,0.180562,0.0693593,0.0334774,0.0173047,0.00869482,0.00594994,0.00385128,0.0028149,0.00217817,0.00181252,0.00130597,0.00113821,0.000861122,0.00072979,0.000658352,0.000561493,0.000506699,0.000448872,0.00036063,0.000308494,0.000265374,0.000256968,0.000222833,0.000191801,0.000185091,0.000167665,0.000157892,0.000141925,0.000128362,0.000103158,9.79538e-05,9.50366e-05,8.48418e-05,7.29002e-05,6.9809e-05,6.02089e-05,5.82019e-05,5.4497e-05,5.11109e-05,4.2452e-05,4.19191e-05
900,43.9993,18.5879,10.3707,3.99765,1.39632,0.525299,0.177741,0.0751449,0.0304772,0.0169593,0.00885394,0.00584216,0.00405578,0.00280333,0.0022759,0.00179574,0.00134404,0.00116046,0.000887321,0.0007191,0.000656642,0.000575112,0.000498856,0.000472445,0.000364971,0.000315398,0.000259338,0.000250725,0.000232555,0.000194707,0.000188321,0.000167805,0.000162596,0.00014679,0.000130053,0.000104337,0.000103257,9.44809e-05,8.76343e-05,7.25571e-05,7.07162e-05,6.31946e-05,5.7505e-05,5.62957e-05,5.09225e-05,4.37921e-05,4.26956e-05
