timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,311.861,132.188,69.1571,27.8819,12.2046,5.06765,1.83203,0.718342,0.303652,0.145355,0.0662613,0.0388248,0.0252101,0.0200457,0.0134161,0.0103825,0.00753545,0.00586433,0.00464479,0.00401243,0.00320072,0.00286615,0.00221131,0.00183119,0.00150779,0.00132213,0.0012141,0.00111976,0.00102328,0.000903689,0.000704876,0.000686928,0.000658238,0.000546658,0.000451568,0.000439903,0.000380524,0.000361812,0.000327387,0.000312231,0.00026068,0.000271644,0.000215565,0.000204458,0.000186166,0.000177242,0.000178191
200,338.682,149.194,69.8364,27.9794,12.4464,5.08686,1.83834,0.701032,0.299112,0.139942,0.0727983,0.0408527,0.0243181,0.0193015,0.0134613,0.0104784,0.00708799,0.00565896,0.00463515,0.00372083,0.00319471,0.00274478,0.00228633,0.00188227,0.00148112,0.00131777,0.00125298,0.000986451,0.000995307,0.000838665,0.000702116,0.000697988,0.00057926,0.000532375,0.000471022,0.000435668,0.000390478,0.000342299,0.000320097,0.000300737,0.000270719,0.000255494,0.000198453,0.000207873,0.000177981,0.000176166,0.000163029
300,338.39,153.751,70.7253,29.1001,12.2164,4.92721,1.85885,0.709472,0.288578,0.138554,0.071948,0.0401856,0.0245433,0.0184945,0.0130348,0.0102102,0.00691027,0.00543509,0.0047411,0.00377778,0.00300933,0.00255519,0.00221927,0.00184674,0.00157314,0.00132099,0.00123788,0.00101646,0.000951871,0.000844598,0.000694453,0.000661043,0.000586783,0.000529885,0.000454304,0.000411173,0.000366521,0.000334802,0.00030479,0.000289034,0.000254735,0.000252128,0.00020511,0.000205554,0.000180522,0.000168768,0.000156057
400,344.978,157.031,71.2649,28.5877,12.3309,4.98687,1.8674,0.727643,0.286209,0.137239,0.0707185,0.0409053,0.0245657,0.0181161,0.0124979,0.00983309,0.0070489,0.00545176,0.00468655,0.00373219,0.00310082,0.00249546,0.00223786,0.00187339,0.00157137,0.00134274,0.00124821,0.00102131,0.000960981,0.000843272,0.000714794,0.000661883,0.000582806,0.00052356,0.000469286,0.000422906,0.000364103,0.000344999,0.000311992,0.000289679,0.000249853,0.000241436,0.000205582,0.000201684,0.000180531,0.000171346,0.000153898
500,334.504,159.402,70.5214,29.0084,12.2719,4.96151,1.85911,0.704284,0.280715,0.132557,0.0694031,0.0411107,0.0251811,0.0177176,0.0125101,0.00971837,0.00716739,0.00558376,0.00468105,0.00372519,0.00312686,0.00249189,0.00223189,0.00191693,0.00160937,0.00138006,0.00124547,0.00103278,0.000964099,0.000841398,0.000728158,0.000666009,0.000576808,0.000522409,0.000478663,0.000419651,0.000358184,0.00036147,0.000310168,0.000284562,0.000254418,0.000242635,0.000209181,0.000202759,0.00017879,0.000171118,0.000153816
600,327.061,157.828,69.9676,28.7836,12.1416,5.03269,1.85087,0.699366,0.280046,0.13321,0.0703111,0.0419364,0.0259442,0.0174452,0.0127373,0.00983385,0.007121,0.00562672,0.00474552,0.00375237,0.00312771,0.00251871,0.0023018,0.00191664,0.00161069,0.0013702,0.00124372,0.00103577,0.000979719,0.000856219,0.000737078,0.000654476,0.000579239,0.000521702,0.000464578,0.00041559,0.0003674,0.000357309,0.000306442,0.000286045,0.000253125,0.000239841,0.000212235,0.000204084,0.000184897,0.000172771,0.000155279
700,325.498,156.315,69.8053,29.2174,12.1548,4.96568,1.86882,0.696907,0.2804,0.135111,0.0712262,0.0411774,0.0261459,0.0174736,0.0124045,0.00989392,0.00715654,0.00563142,0.00466312,0.00376915,0.003111,0.00255793,0.0022753,0.00193938,0.00160251,0.00136629,0.00123313,0.00103939,0.000970033,0.000851282,0.000737325,0.000656794,0.000580822,0.000530753,0.00046189,0.000416572,0.000369885,0.000357598,0.000311827,0.000279704,0.000257239,0.000236832,0.000211548,0.000200614,0.000184785,0.000170378,0.000154087
800,332.899,159.114,71.1233,29.5879,12.2727,4.9342,1.86617,0.69756,0.279491,0.134835,0.072183,0.0420999,0.0263827,0.0175851,0.0127975,0.0098045,0.00719116,0.00563762,0.00473197,0.00373158,0.00312852,0.00259466,0.00229378,0.00194059,0.00160528,0.00136374,0.00125962,0.0010592,0.000965046,0.000844928,0.000743056,0.000646167,0.000592088,0.000532687,0.000466091,0.000417159,0.000371329,0.000355842,0.000314323,0.000280295,0.000261394,0.000237954,0.000213893,0.000201477,0.000183993,0.000169032,0.000152819
900,332.165,159.95,71.6005,29.9494,12.2928,4.93534,1.88007,0.704843,0.281979,0.135916,0.0720176,0.0424935,0.0263301,0.0175489,0.0129881,0.00970197,0.0071847,0.00565377,0.00470989,0.00370321,0.00309212,0.00256895,0.00224598,0.0019471,0.00160055,0.00138494,0.00124976,0.00104661,0.000946097,0.000833285,0.000728447,0.000642987,0.000597334,0.000530286,0.000466155,0.00041716,0.000378379,0.000347861,0.00031247,0.000280635,0.000261479,0.000237438,0.000214373,0.00019773,0.000185027,0.000168133,0.000153598
1000,337.126,160.738,71.5646,30.5089,12.2076,4.99069,1.89106,0.70016,0.279308,0.136769,0.0728617,0.0426556,0.0266958,0.0177408,0.0129262,0.00982227,0.00725813,0.00574007,0.00475247,0.0037761,0.00308974,0.00256157,0.00226625,0.00194667,0.00161443,0.00139481,0.00124114,0.00104644,0.000951079,0.000821254,0.000743256,0.00065104,0.000601862,0.000535961,0.000463056,0.000417813,0.000374537,0.000352897,0.000312719,0.000282089,0.000257108,0.000238633,0.000213405,0.000198279,0.000185545,0.000167912,0.000152283
1100,340.617,160.864,72.3486,30.4116,12.1062,4.97238,1.90268,0.700523,0.281423,0.136145,0.0732383,0.042316,0.0264421,0.0177202,0.0129878,0.00984338,0.00717721,0.00566699,0.00472036,0.00374481,0.00309481,0.0025622,0.0022747,0.00192538,0.00159757,0.00138292,0.00124258,0.00104391,0.000948907,0.000820351,0.000735329,0.000641637,0.000595195,0.000530215,0.000463109,0.000423438,0.000376833,0.000355079,0.000314394,0.000281443,0.00025793,0.000238972,0.000213244,0.000198759,0.00018597,0.000168416,0.000153136
1200,336.391,161.728,72.4633,30.7552,12.1476,4.98065,1.88455,0.702236,0.286061,0.137275,0.0738391,0.0422893,0.0264929,0.017565,0.0129304,0.00980324,0.00713465,0.00572417,0.00468273,0.00374694,0.00310348,0.00256911,0.00227983,0.00192142,0.00159823,0.00139943,0.00124469,0.00106155,0.000948608,0.000821887,0.000747222,0.000648428,0.000593281,0.00053129,0.000471266,0.000424963,0.000376886,0.000353927,0.000313943,0.000282944,0.000255775,0.000241731,0.000213433,0.000200618,0.000185826,0.000169537,0.000153215
1300,335.481,159.979,72.961,30.5377,12.233,4.96503,1.89066,0.699313,0.285257,0.136151,0.0734174,0.0421053,0.0261574,0.01761,0.0127833,0.00976081,0.00716197,0.00574737,0.00467692,0.00375658,0.00310505,0.00256165,0.00229372,0.00192969,0.00161207,0.00140999,0.00124337,0.00107427,0.000954172,0.000823142,0.000743398,0.000647212,0.000597267,0.000534131,0.000477216,0.000422813,0.000375977,0.000352938,0.000312551,0.00028352,0.000256932,0.000240048,0.000213637,0.000200195,0.000185687,0.000168239,0.000152624
1400,335.531,159.69,72.3873,30.4686,12.2002,4.94804,1.89964,0.692841,0.286256,0.135765,0.0731211,0.0422703,0.0262308,0.0174205,0.0126406,0.00980607,0.00715575,0.00580111,0.0047227,0.00377727,0.00311301,0.00256761,0.00226937,0.00192666,0.00161281,0.00141222,0.00123507,0.00107357,0.000953731,0.000816907,0.000740574,0.000643155,0.000598374,0.000534897,0.00047353,0.00042094,0.000375871,0.000351497,0.000309472,0.000282417,0.000256674,0.000238736,0.000213464,0.000200568,0.000185912,0.000168772,0.000150533
1500,335.802,158.596,72.2318,30.4666,12.3388,4.92418,1.90165,0.692971,0.285175,0.135829,0.0732233,0.0420643,0.0260777,0.017617,0.0126882,0.00973463,0.00716735,0.00584631,0.00473058,0.003796,0.0030935,0.00257905,0.00227184,0.00192741,0.0016017,0.00140749,0.00123922,0.00107265,0.000946513,0.000816289,0.000739584,0.000644046,0.000593769,0.000532631,0.000474128,0.000418704,0.000373262,0.000349414,0.000307896,0.000278785,0.000255813,0.000237322,0.000214323,0.000198747,0.000183852,0.000168077,0.00015018
