timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,280.65,115.865,64.3927,25.1526,10.8202,4.6731,1.6947,0.621065,0.266378,0.129297,0.0575265,0.0331774,0.0210799,0.0172883,0.0110932,0.00826313,0.00608484,0.00465175,0.00358679,0.00298871,0.00240456,0.002116,0.0017001,0.00136737,0.00109859,0.0010315,0.000887551,0.000801652,0.000769971,0.000683656,0.00048392,0.000493043,0.000485366,0.000393512,0.000318665,0.000322268,0.000268359,0.000234139,0.000225232,0.000231633,0.000187288,0.000180227,0.000164058,0.000145504,0.000136814,0.000125433,0.00012068
200,303.515,131.869,65.1899,25.271,11.1866,4.59444,1.67356,0.610377,0.264384,0.125092,0.0629127,0.0349962,0.0201497,0.0160095,0.0107565,0.00834382,0.00566022,0.00445611,0.00364754,0.00290429,0.00246975,0.00206065,0.00177561,0.00143298,0.00113134,0.00104157,0.000948638,0.000741677,0.000768016,0.000639616,0.000506722,0.000520849,0.000441314,0.000394916,0.000349045,0.000328291,0.000295644,0.000244782,0.000234155,0.000228221,0.000205024,0.000179524,0.000148001,0.000153837,0.000131394,0.000131128,0.000116421
300,299.441,134.131,64.1642,26.0588,10.9742,4.4599,1.66985,0.631098,0.255753,0.121621,0.0611267,0.0341034,0.0204194,0.0154077,0.0106716,0.0082495,0.00560109,0.00424672,0.00379006,0.00295277,0.00239475,0.00193165,0.00168987,0.00138228,0.00117893,0.00103615,0.000931029,0.000768983,0.000708586,0.000627564,0.000496758,0.000489419,0.000437023,0.00039134,0.000332319,0.000300593,0.000273754,0.000242458,0.000214929,0.000213867,0.000191148,0.00018081,0.000153767,0.000152581,0.000134504,0.000124365,0.000114574
400,304.887,137.068,64.0007,25.4105,10.9947,4.52407,1.68426,0.643061,0.253586,0.121016,0.0600478,0.0345881,0.0206283,0.0150589,0.0101889,0.00780699,0.00564922,0.00429182,0.00371947,0.00289243,0.00243199,0.0018714,0.0017068,0.00143528,0.00117695,0.00105886,0.000929152,0.000761081,0.000714417,0.000639115,0.00052198,0.000484236,0.000432287,0.000383398,0.000339931,0.000307699,0.000267844,0.000246747,0.000221801,0.000212064,0.000183528,0.000174895,0.000149887,0.000147459,0.000135267,0.000125838,0.000109572
500,293.341,139.117,62.2123,25.5037,10.9672,4.48494,1.68544,0.627493,0.250727,0.116222,0.0583892,0.0347297,0.0209518,0.0145129,0.0101233,0.00781146,0.00572762,0.00438351,0.00371399,0.00288262,0.00242571,0.00188986,0.00170372,0.00145093,0.00120177,0.00106871,0.00092012,0.000763197,0.000702543,0.000624987,0.000532261,0.00047685,0.000423238,0.000371747,0.00033987,0.000302151,0.000260039,0.00025557,0.000217619,0.000203491,0.000183369,0.000171347,0.00015044,0.000146981,0.000131694,0.000123989,0.000106874
600,286.15,136.756,60.806,25.206,10.7916,4.55831,1.68048,0.624102,0.249492,0.115604,0.0591492,0.0352932,0.0217205,0.014318,0.0102743,0.0078787,0.00565068,0.00438325,0.00373329,0.00292699,0.00241623,0.00189406,0.00175373,0.00145034,0.0011972,0.00105496,0.000919328,0.000767164,0.000715038,0.000637554,0.000532783,0.000468299,0.000423518,0.000371536,0.000334867,0.00030094,0.000267108,0.000251669,0.000215402,0.000206535,0.000181131,0.000171746,0.00015341,0.000146493,0.000135818,0.000123825,0.000108533
700,283.668,134.028,59.9173,25.2655,10.7481,4.4914,1.69015,0.618963,0.246951,0.11774,0.0600266,0.0346713,0.0219289,0.0142024,0.00999486,0.00791866,0.00564294,0.00433807,0.00364842,0.00290956,0.00237535,0.00193426,0.00173479,0.00146509,0.00119275,0.00103521,0.000908482,0.000774596,0.000714543,0.000631243,0.000537599,0.000471252,0.000423029,0.000381048,0.00033136,0.000300808,0.000270655,0.000253913,0.000220159,0.000202899,0.000184083,0.000169015,0.000151854,0.000143927,0.00013502,0.000122545,0.000107279
800,289.547,136.232,60.7632,25.2594,10.7713,4.43197,1.68454,0.619892,0.247217,0.117219,0.0609009,0.0351659,0.0219114,0.0143761,0.0103228,0.00783292,0.0056713,0.00436974,0.00370786,0.00286142,0.00241495,0.00196652,0.00175438,0.00146874,0.00120044,0.00103792,0.000923446,0.000788052,0.000712221,0.000624231,0.000536102,0.000461759,0.000430748,0.000385,0.000337728,0.000301818,0.000271441,0.000252864,0.00022188,0.000203542,0.000188564,0.000169719,0.000153025,0.000144393,0.000133749,0.000121837,0.000107152
900,286.619,136.881,60.8336,25.4502,10.7706,4.43768,1.70121,0.629136,0.249779,0.11854,0.0609132,0.0353237,0.0216952,0.0143139,0.0105311,0.00776383,0.00570575,0.00434693,0.00366169,0.00285395,0.00237886,0.00194001,0.00170835,0.00147575,0.00119621,0.00105069,0.00090821,0.00077171,0.000695192,0.000615213,0.000526502,0.000463815,0.000437429,0.000384885,0.000339608,0.000301187,0.00027557,0.000246877,0.000223141,0.000202755,0.000189114,0.000169746,0.000154939,0.000142118,0.00013482,0.000120116,0.000108508
