timestep,alt_70km,alt_75km,alt_80km,alt_85km,alt_90km,alt_95km,alt_100km,alt_105km,alt_110km,alt_115km,alt_120km,alt_125km,alt_130km,alt_135km,alt_140km,alt_145km,alt_150km,alt_155km,alt_160km,alt_165km,alt_170km,alt_175km,alt_180km,alt_185km,alt_190km,alt_195km,alt_200km,alt_205km,alt_210km,alt_215km,alt_220km,alt_225km,alt_230km,alt_235km,alt_240km,alt_245km,alt_250km,alt_255km,alt_260km,alt_265km,alt_270km,alt_275km,alt_280km,alt_285km,alt_290km,alt_295km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,31.2114,16.3224,4.76436,2.72938,1.38445,0.394544,0.137332,0.0972772,0.0372735,0.0160575,0.00873478,0.00564738,0.00413025,0.0027574,0.00232285,0.00211937,0.00145062,0.00121257,0.001058,0.00102372,0.000796166,0.000750146,0.000511207,0.000463821,0.000409199,0.000290629,0.000326549,0.000318104,0.00025331,0.000220033,0.000220956,0.000193885,0.000172873,0.000153146,0.000132903,0.000117635,0.000112164,0.000127673,0.000102155,8.05981e-05,7.33914e-05,9.14168e-05,5.15067e-05,5.89537e-05,4.93524e-05,5.18093e-05,5.75112e-05
200,35.1661,17.3247,4.64656,2.70835,1.25972,0.49242,0.16478,0.0906551,0.0347276,0.0148501,0.00988558,0.0058565,0.00416844,0.00329201,0.00270479,0.00213455,0.00142777,0.00120284,0.000987604,0.000816535,0.000724961,0.000684134,0.000510716,0.000449291,0.000349774,0.000276202,0.000304343,0.000244774,0.000227291,0.000199048,0.000195394,0.000177138,0.000137946,0.000137459,0.000121977,0.000107378,9.48336e-05,9.75162e-05,8.59427e-05,7.2516e-05,6.5695e-05,7.59701e-05,5.04528e-05,5.40363e-05,4.65866e-05,4.50376e-05,4.66081e-05
300,38.9492,19.621,6.56109,3.04131,1.24218,0.467308,0.189003,0.0783735,0.0328253,0.0169329,0.0108212,0.00608219,0.00412394,0.0030868,0.0023632,0.00196066,0.00130919,0.00118837,0.000951036,0.00082501,0.000614577,0.000623531,0.000529394,0.00046446,0.00039421,0.000284837,0.000306855,0.000247479,0.000243285,0.000217034,0.000197695,0.000171624,0.000149759,0.000138545,0.000121985,0.000110581,9.27669e-05,9.23433e-05,8.98602e-05,7.51672e-05,6.35871e-05,7.13176e-05,5.13424e-05,5.29732e-05,4.60184e-05,4.44032e-05,4.14829e-05
400,40.0918,19.9636,7.26419,3.17713,1.33615,0.462798,0.183137,0.0845825,0.032623,0.0162232,0.0106707,0.00631714,0.00393745,0.00305725,0.00230904,0.00202609,0.00139968,0.00115994,0.000967082,0.000839763,0.000668832,0.000624062,0.00053106,0.000438117,0.000394426,0.000283874,0.000319055,0.000260225,0.000246564,0.000204157,0.000192814,0.000177648,0.00015052,0.000140162,0.000129355,0.000115208,9.62587e-05,9.82516e-05,9.01911e-05,7.76155e-05,6.63253e-05,6.65411e-05,5.56948e-05,5.42252e-05,4.52644e-05,4.55083e-05,4.4326e-05
500,41.1626,20.2848,8.30913,3.50475,1.30468,0.476573,0.173663,0.076791,0.0299881,0.0163355,0.0110139,0.00638098,0.00422937,0.00320468,0.00238677,0.00190691,0.00143977,0.00120025,0.000967062,0.000842567,0.000701148,0.000602028,0.00052817,0.000466008,0.0004076,0.000311351,0.000325345,0.000269585,0.000261556,0.000216411,0.000195897,0.000189159,0.000153571,0.000150663,0.000138793,0.000117501,9.81442e-05,0.000105901,9.25488e-05,8.10715e-05,7.10487e-05,7.12876e-05,5.87408e-05,5.57776e-05,4.70955e-05,4.71285e-05,4.6942e-05
600,40.9112,21.0712,9.16157,3.57761,1.35,0.47438,0.170391,0.075264,0.0305543,0.0176053,0.0111619,0.00664315,0.00422368,0.00312717,0.00246301,0.00195514,0.00147032,0.00124347,0.00101223,0.000825385,0.000711485,0.000624653,0.000548071,0.000466303,0.000413492,0.000315232,0.000324389,0.000268604,0.000264681,0.000218664,0.000204295,0.000186178,0.000155721,0.000150165,0.000129711,0.00011465,0.000100292,0.00010564,9.10406e-05,7.95096e-05,7.19946e-05,6.80943e-05,5.88249e-05,5.75907e-05,4.90787e-05,4.89459e-05,4.67463e-05
700,41.8302,22.287,9.88792,3.95189,1.40667,0.474278,0.178669,0.0779439,0.0334492,0.0173716,0.0111996,0.00650616,0.00421704,0.00327113,0.00240964,0.00197527,0.0015136,0.00129335,0.0010147,0.000859591,0.000735651,0.000623676,0.000540513,0.000474287,0.000409751,0.000331081,0.000324648,0.000264792,0.000255491,0.000220039,0.000199726,0.000185542,0.000157794,0.000149705,0.00013053,0.000115764,9.92299e-05,0.000103685,9.16678e-05,7.68053e-05,7.3156e-05,6.7817e-05,5.96938e-05,5.66871e-05,4.97652e-05,4.78325e-05,4.68079e-05
800,43.3523,22.8816,10.3601,4.32857,1.50135,0.502231,0.181631,0.0776679,0.0322735,0.0176158,0.0112821,0.00693403,0.00447126,0.00320903,0.00247468,0.00197158,0.00151986,0.00126788,0.00102411,0.000870157,0.000713569,0.000628132,0.000539401,0.000471849,0.000404841,0.000325817,0.000336172,0.000271147,0.000252825,0.000220697,0.000206954,0.000184408,0.00016134,0.000147688,0.000128363,0.000115341,9.9888e-05,0.000102978,9.24425e-05,7.6753e-05,7.283e-05,6.8235e-05,6.08685e-05,5.70844e-05,5.0244e-05,4.71949e-05,4.56666e-05
900,45.5464,23.069,10.7669,4.49927,1.52215,0.497658,0.178856,0.0757072,0.0321993,0.017376,0.0111044,0.00716972,0.00463485,0.00323499,0.00245693,0.00193814,0.00147895,0.00130684,0.00104821,0.000849257,0.00071326,0.000628941,0.000537625,0.000471348,0.000404347,0.00033425,0.000341546,0.000274896,0.000250905,0.000218073,0.000201945,0.000179171,0.000159905,0.000145402,0.000126548,0.000115974,0.000102808,0.000100984,8.93296e-05,7.78796e-05,7.23654e-05,6.76918e-05,5.94339e-05,5.5612e-05,5.02072e-05,4.8017e-05,4.50896e-05
