timestep,alt_70km,alt_80km,alt_90km,alt_100km,alt_120km,alt_140km,alt_160km,alt_180km,alt_200km,alt_220km,alt_250km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0
100,116.32,26.4706,4.62905,0.68642,0.0387632,0.00854775,0.00355928,0.00185557,0.00113443,0.000721852,0.000367685,0.000143034
200,105.449,25.2516,4.0773,0.682127,0.0388345,0.0102872,0.00466281,0.00217394,0.00134822,0.000817492,0.000405857,0.000163754
300,138.757,31.1248,4.92839,0.685788,0.0469247,0.0095564,0.00415538,0.00231976,0.00135443,0.000804451,0.000425251,0.000172276
400,145.082,30.4563,5.54287,0.805292,0.0456377,0.00955297,0.00398625,0.00223474,0.00134073,0.000802368,0.00041878,0.000166064
500,161.023,35.1761,6.68275,0.889097,0.0447193,0.00967382,0.00392824,0.00219037,0.00132615,0.000822389,0.000416394,0.000176415
600,166.871,38.8225,6.57576,0.833723,0.0439963,0.00931669,0.00410008,0.00221349,0.00132148,0.00082512,0.000419144,0.000172673
700,166.653,41.2692,6.76105,0.850281,0.0427622,0.00960172,0.00414759,0.00224531,0.00133727,0.000819656,0.000413588,0.00017084
800,173.179,43.811,6.67402,0.802715,0.0422546,0.00964091,0.00416359,0.0022403,0.00133956,0.000830115,0.00042013,0.000169937
900,166.587,44.7308,6.63493,0.766742,0.0445305,0.00971345,0.00415758,0.00222278,0.00128058,0.000777736,0.000402444,0.000169192
1000,172.055,46.514,6.71837,0.767797,0.0442892,0.00963278,0.00409603,0.00210964,0.0012512,0.000784157,0.000402984,0.000169721
1100,174.626,46.4371,6.95832,0.806315,0.0446855,0.00977089,0.00390893,0.00213971,0.00127176,0.000794598,0.000404536,0.000170396
1200,179.307,47.8077,7.30211,0.820278,0.0449065,0.00948703,0.00396412,0.00212837,0.00126364,0.000787858,0.000405677,0.000169545
1300,185.613,49.2978,7.49176,0.835902,0.0447354,0.00927366,0.00400763,0.00215571,0.001256,0.000774171,0.000396522,0.000169259
1400,192.451,47.962,7.61227,0.81936,0.0436612,0.00950071,0.00407871,0.00211309,0.00123802,0.000772441,0.000394957,0.000169982
1500,191.072,47.2855,7.69543,0.825501,0.0433975,0.00951789,0.00401087,0.00210006,0.00122787,0.000773311,0.000392625,0.000166371
1600,194.747,47.7801,7.878,0.85877,0.0428303,0.0097294,0.00405187,0.00210862,0.00122808,0.000761098,0.00039081,0.000165368
1700,192.884,48.6814,7.98542,0.843287,0.0425108,0.00954393,0.0040551,0.00209549,0.00122499,0.000747729,0.000384342,0.000166183
1800,195.402,48.4469,8.24911,0.839335,0.0436526,0.00949576,0.00405665,0.00208898,0.00119423,0.000753314,0.000389468,0.000167401
1900,196.719,48.6368,8.55855,0.837313,0.0425021,0.00950615,0.00402309,0.00205572,0.00121058,0.000753929,0.000386606,0.0001664
2000,199.037,48.978,8.61625,0.842255,0.0424067,0.00965583,0.00399987,0.00206101,0.00119894,0.000750973,0.00039481,0.000166525
