timestep,alt_70km,alt_80km,alt_90km,alt_100km,alt_120km,alt_140km,alt_160km,alt_180km,alt_200km,alt_220km,alt_250km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0
100,147.565,28.7896,5.22781,0.892079,0.0499731,0.0125157,0.00543294,0.00296336,0.00190211,0.00107099,0.000594416,0.000264037
200,155.171,40.0201,6.28703,0.929939,0.064554,0.0160197,0.00790401,0.00402886,0.00238012,0.00137689,0.000750351,0.00032519
300,200.011,46.7515,7.18703,1.05796,0.0749523,0.0194009,0.00762035,0.00383315,0.0023951,0.00145651,0.000796527,0.000334563
400,246.448,57.9373,8.7841,1.27347,0.0746968,0.0196852,0.00784814,0.00401048,0.00244687,0.00150549,0.000835928,0.000343656
500,279.138,61.2082,9.48184,1.36533,0.0761084,0.019176,0.00813865,0.0041201,0.00250931,0.00152621,0.000842655,0.000344814
600,304.74,65.1518,10.0423,1.4084,0.0748596,0.0192937,0.00818346,0.00434881,0.00254242,0.00152275,0.000804935,0.000335401
700,326.855,70.7598,10.8595,1.41309,0.0777116,0.0199197,0.00819578,0.00420553,0.00248822,0.00149404,0.000802361,0.000336526
800,339.015,76.7162,11.2494,1.42524,0.0798852,0.0200545,0.00808399,0.0041945,0.00247443,0.0014834,0.000806142,0.000336079
900,349.03,79.4162,11.426,1.39023,0.0806209,0.0194197,0.00793238,0.0041367,0.00245455,0.00147852,0.000806094,0.000337106
1000,359.602,82.8196,12.2037,1.46131,0.0827599,0.0193551,0.00793467,0.00408296,0.00243986,0.00148584,0.000801493,0.000333611
1100,374.226,85.6629,12.6273,1.53268,0.0820962,0.0191043,0.007798,0.00409946,0.00242844,0.00149269,0.000808092,0.000338144
1200,372.98,87.7202,13.0304,1.53741,0.0816558,0.0188248,0.00782662,0.00409069,0.00243716,0.00150537,0.000805646,0.000339734
1300,375.348,89.7696,13.4719,1.5566,0.0809349,0.0191567,0.00785378,0.00413319,0.00243929,0.00150055,0.000806572,0.000335576
1400,372.561,91.3071,13.8262,1.54272,0.0805271,0.0195282,0.00791221,0.0040872,0.0023873,0.0014844,0.000808883,0.000337698
1500,377.852,90.9996,14.0805,1.57026,0.0813461,0.0196084,0.00790918,0.0040611,0.00241086,0.00149858,0.000801281,0.000331794
1600,385.183,92.1842,14.4196,1.54595,0.0803984,0.0198117,0.00781948,0.00409074,0.00239257,0.00148739,0.000794903,0.000329511
1700,390.662,93.4838,14.46,1.51046,0.0810924,0.0195351,0.00785612,0.00406243,0.00239926,0.00147996,0.000788038,0.000328999
1800,386.543,93.1814,14.6402,1.50064,0.0817664,0.0191312,0.00784305,0.00407075,0.00236869,0.00148807,0.000790651,0.00032675
1900,389.892,93.208,14.7301,1.51045,0.0824073,0.0191075,0.00785849,0.00405407,0.00236247,0.00147458,0.000791727,0.000326016
2000,384.072,91.4884,14.7734,1.50125,0.083272,0.0192644,0.00782412,0.00403341,0.00237278,0.00147462,0.0007915,0.000325708
